IBGE	2017	2016	2015	2014	2013
2918803	113	92	119	108	74
2918902	15	19	12	1	9
2919009	12	12	9	14	22
2919058	38	45	46	39	32
2919108	28	13	28	25	23
2919157	107	100	118	78	97
2919207	1057	1096	1116	1183	1007
2919306	51	29	50	31	40
2919405	54	57	57	48	37
2919504	230	214	206	182	165
2919553	170	190	181	132	140
2919603	69	82	64	64	63
2919702	94	74	71	100	106
2919801	212	199	207	218	211
2919900	28	35	31	31	24
2919926	90	91	102	80	75
2919959	36	31	28	32	31
2920007	41	31	29	29	41
2920106	110	144	135	98	126
2920205	58	56	45	46	21
2920304	41	20	16	18	23
2920403	39	43	58	25	29
2920452	22	8	17	6	4
2920502	157	145	136	146	129
2920601	186	165	150	165	139
2920700	44	40	30	34	27
2920809	40	36	39	39	37
2920908	59	62	54	47	32
2921005	221	223	211	238	195
2921054	45	29	32	29	27
2921104	187	185	133	142	149
2921203	163	173	177	160	188
2921302	58	65	69	49	63
2921401	54	33	57	49	58
2921450	24	24	21	18	25
2921500	279	245	278	263	268
2921609	41	50	35	34	15
2921708	209	164	160	173	178
2921807	71	59	81	67	56
2921906	49	45	42	54	38
2922003	168	160	160	125	152
2922052	72	54	30	47	41
2922102	112	124	105	107	102
2922201	11	17	10	24	18
2922250	28	20	19	45	29
2922300	108	115	111	109	80
2922409	146	115	114	117	117
2922508	218	197	159	124	166
2922607	39	46	41	31	24
2922656	57	65	49	49	54
2922706	71	60	73	47	66
2922730	50	40	42	37	26
2922755	13	17	17	15	14
2922805	37	30	25	42	24
2922854	39	23	27	25	36
2922904	150	169	142	125	105
2923001	207	200	173	166	180
2923035	45	55	37	39	5
2923050	25	20	21	17	16
2923100	128	132	136	135	110
2923209	116	126	116	85	89
2923308	46	44	49	44	35
2923357	60	57	51	19	43
2923407	100	93	100	66	70
2923506	26	25	40	19	24
2923605	220	219	205	200	206
2923704	164	150	127	82	140
2923803	122	122	107	120	129
2923902	41	44	38	48	37
2924009	847	854	778	767	772
2924058	69	49	71	58	49
2924108	32	28	25	26	30
2924207	27	57	26	31	36
2924306	112	135	127	130	72
2924405	108	88	104	91	90
2924504	69	60	75	45	52
2924603	119	76	73	47	61
2924652	57	46	60	49	46
2924678	24	17	20	30	21
2924702	57	46	44	32	63
2924801	118	128	116	109	112
2924900	19	23	26	21	25
2925006	122	140	132	104	130
2925105	311	306	274	263	269
2925204	134	163	175	172	111
2925253	76	79	90	56	76
2925303	886	869	752	808	716
2925402	46	40	24	33	36
2925501	146	139	109	109	85
2925600	66	70	57	45	53
2925709	55	61	62	61	59
2925758	94	117	126	90	100
2925808	156	125	111	132	106
2925907	119	99	129	96	134
2925931	21	22	18	24	36
2925956	138	119	141	107	101
2926004	200	191	192	212	197
2926103	56	48	46	52	64
2926202	86	78	99	84	84
2926301	198	171	210	175	210
2926400	140	165	141	117	141
2926509	40	29	50	34	33
2926608	570	495	501	444	424
2926657	25	25	19	24	14
2926707	57	79	93	77	67
2926806	45	49	47	34	25
2926905	31	40	38	35	43
2927002	239	198	209	193	154
2927101	45	37	34	27	30
2927200	206	219	237	203	217
2927309	65	53	68	64	54
2927408	20261	19434	20227	19835	19347
2927507	122	108	129	100	125
2927606	30	31	38	41	43
2927705	92	51	123	102	81
2927804	24	30	32	20	19
2927903	80	97	75	58	68
2928000	57	62	56	45	32
2928059	206	182	184	195	182
2928109	122	64	122	86	87
2928208	58	65	70	57	73
2928307	156	189	198	141	199
2928406	79	85	76	60	64
2928505	49	33	43	32	47
2928604	274	254	246	294	258
2928703	1244	1116	1004	994	882
2928802	296	284	298	263	257
2928901	95	58	63	68	73
2928950	44	36	40	35	36
2929107	92	86	86	130	108
2929008	221	236	216	233	261
2929057	72	97	58	51	67
2929206	168	140	208	149	154
2929255	66	67	54	56	54
2929305	161	124	153	152	139
2929354	21	36	25	28	23
2929370	40	31	31	28	42
2929404	37	31	28	25	36
2929503	197	196	194	184	178
2929602	100	94	76	98	106
2929701	98	99	86	80	69
2929750	73	35	81	52	54
2929800	65	49	64	70	63
2929909	231	239	205	248	154
2930006	37	36	50	29	39
2930105	475	551	555	475	429
2930204	83	84	109	76	78
2930154	119	111	123	127	119
2930303	66	72	67	78	69
2930402	108	100	105	96	107
2930501	450	451	441	394	388
2930600	67	69	63	60	63
2930709	622	523	572	538	532
2930758	44	41	34	24	18
2930766	36	48	39	34	37
2930774	90	95	80	76	70
2930808	91	88	56	64	51
2930907	33	17	43	51	34
2931004	95	72	69	74	82
2931053	73	81	79	57	60
2931103	66	30	40	37	48
2931202	62	56	50	70	71
2931301	76	88	66	56	70
2931350	1308	1186	1127	1125	1119
2931400	40	28	48	28	38
2931509	103	93	95	67	95
2931608	45	54	61	55	39
2931707	43	49	68	56	52
2931806	86	107	123	88	101
2931905	225	233	253	217	237
2932002	132	127	86	103	120
2932101	107	106	105	102	91
2932200	92	102	99	97	99
2932309	93	125	112	120	107
2932408	68	80	58	43	48
2932457	38	24	28	19	23
2932507	115	122	130	109	103
2932606	77	85	73	50	51
2932705	74	82	90	99	79
2932804	87	94	106	88	88
2932903	556	588	547	602	547
2933000	104	110	111	94	98
2933059	51	52	57	44	58
2933109	49	31	48	45	44
2933158	56	58	43	31	40
2933174	24	28	32	27	42
2933208	211	162	174	117	118
2933257	29	28	29	14	17
2933307	3137	3066	2967	2992	2879
2933406	46	44	38	54	55
2933455	60	38	24	42	37
2933505	95	76	69	70	72
2933604	229	202	202	197	187
