codigo mun	QtProfissionais/100000Hab	QtMédicos/100000Hab	QtEnfermeiros/100000Hab	QtSUS/100000Hab	QtNãoSUS/100000Hab	QtProfissionais/100000Hab	QtMédicos/100000Hab	QtEnfermeiros/100000Hab	QtSUS/100000Hab	QtNãoSUS/100000Hab	QtProfissionais/100000Hab	QtMédicos/100000Hab	QtEnfermeiros/100000Hab	QtSUS/100000Hab	QtNãoSUS/100000Hab	QtProfissionais/100000Hab	QtMédicos/100000Hab	QtEnfermeiros/100000Hab	QtSUS/100000Hab	QtNãoSUS/100000Hab	QtProfissionais/100000Hab	QtMédicos/100000Hab	QtEnfermeiros/100000Hab	QtSUS/100000Hab	QtNãoSUS/100000Hab	QtProfissionais/100000Hab	QtMédicos/100000Hab	QtEnfermeiros/100000Hab	QtSUS/100000Hab	QtNãoSUS/100000Hab	QtProfissionais/100000Hab	QtMédicos/100000Hab	QtEnfermeiros/100000Hab	QtSUS/100000Hab	QtNãoSUS/100000Hab	QtProfissionais/100000Hab	QtMédicos/100000Hab	QtEnfermeiros/100000Hab	QtSUS/100000Hab	QtNãoSUS/100000Hab	QtProfissionais/100000Hab	QtMédicos/100000Hab	QtEnfermeiros/100000Hab	QtSUS/100000Hab	QtNãoSUS/100000Hab
2902252	77	17	60	77	0	103	17	86	103	0	94	9	86	94	0	94	26	69	94	0	120	43	77	120	0	111	26	86	111	0	111	60	51	111	0	111	26	86	111	0	129	43	86	129	0
2902302	76	33	44	76	0	65	22	44	65	0	65	11	55	65	0	98	44	55	98	0	76	22	55	76	0	65	22	44	65	0	120	76	44	120	0	131	33	98	131	0	131	33	98	131	0
2902401	126	63	63	126	0	134	47	87	134	0	126	39	87	126	0	165	71	94	165	0	142	55	87	142	0	134	47	87	134	0	331	244	87	331	0	126	55	71	126	0	142	63	79	142	0
2902500	98	63	35	98	0	98	56	42	98	0	84	42	42	84	0	105	21	84	105	0	126	49	77	126	0	140	49	91	140	0	202	105	98	202	0	140	56	84	140	0	140	42	98	140	0
2902609	107	65	42	103	5	56	37	19	56	0	51	28	23	51	0	98	47	51	98	0	112	61	51	112	0	107	56	51	103	5	126	117	9	126	0	112	61	51	112	0	93	42	51	93	0
2902658	94	15	80	94	0	94	15	80	94	0	124	15	109	124	0	167	51	116	167	0	145	44	102	145	0	153	58	94	153	0	167	36	131	167	0	182	58	124	182	0	131	36	94	131	0
2902708	78	40	38	78	0	80	46	35	80	0	91	46	46	91	0	95	40	55	95	0	111	51	60	111	0	118	56	62	118	0	73	7	66	73	0	127	62	66	127	0	124	51	73	124	0
2902807	136	86	50	131	5	131	72	59	127	5	118	59	59	113	5	140	77	63	136	5	154	68	86	149	5	163	68	95	159	5	1100	996	104	1096	5	181	82	100	172	9	172	72	100	163	9
2902906	149	88	62	147	3	164	103	62	164	0	170	106	64	170	0	164	103	62	164	0	149	82	67	149	0	147	85	62	144	3	88	26	62	85	3	141	76	64	138	3	135	73	62	132	3
2903003	82	41	41	82	0	69	27	41	69	0	69	27	41	69	0	82	27	55	82	0	130	27	103	130	0	144	21	124	144	0	185	55	130	185	0	172	34	137	172	0	144	27	117	144	0
