Posição	Código IBGE	Município	População
1436º	1507904	Soure	24682
1437º	2600302	Agrestina	24644
1438º	3502200	Angatuba	24634
1439º	4321907	Três Passos	24632
1440º	4208500	Ituporanga	24622
1441º	2307403	Jucás	24597
1442º	3520004	Igaraçu do Tietê	24596
1443º	3205069	Venda Nova do Imigrante	24575
1444º	2702355	Craíbas	24510
1445º	5100201	Água Boa	24501
1446º	4321808	Três de Maio	24497
1447º	2301703	Aurora	24496
1448º	2506905	Itabaiana	24475
1449º	3147402	Paraopeba	24427
1450º	4319604	São Sepé	24403
1451º	3531407	Monte Aprazível	24393
1452º	3119104	Corinto	24384
1453º	3154002	Raul Soares	24368
1454º	5002100	Bela Vista	24331
1455º	2918803	Laje	24306
1456º	5107875	Sapezal	24305
1457º	4203956	Capivari de Baixo	24298
1458º	2912707	Ibirapitanga	24293
1459º	3303955	Pinheiral	24282
1460º	2703809	Joaquim Gomes	24280
1461º	2708303	São José da Laje	24226
1462º	2411502	Santo Antônio	24220
1463º	3202108	Ecoporanga	24217
1464º	1507458	São Geraldo do Araguaia	24188
1465º	1506609	Santa Maria do Pará	24186
1466º	1100320	São Miguel do Guaporé	24181
1467º	2512903	Rio Tinto	24154
1468º	5208905	Goiás	24103
1469º	3507803	Brodowski	24092
1470º	2304350	Forquilha	24047
1471º	3204609	Santa Teresa	24025
1472º	3507100	Bom Jesus dos Perdões	24023
1473º	3105103	Bambuí	24018
1474º	2903409	Belmonte	24013
1475º	5203500	Bom Jesus de Goiás	23998
1476º	2304251	Cruz	23983
1477º	2605004	Cupira	23977
1478º	4105904	Colorado	23941
1479º	5002951	Chapadão do Sul	23940
1480º	2908903	Coração de Maria	23896
1481º	5007109	Ribas do Rio Pardo	23881
1482º	3507902	Brotas	23858
1483º	2306108	Irauçuba	23858
1484º	2905008	Caculé	23817
1485º	2102804	Carolina	23803
1486º	3512407	Cordeirópolis	23793
1487º	3113008	Caraí	23781
1488º	2609709	Orobó	23768
1489º	1303601	Santa Isabel do Rio Negro	23765
1490º	4318408	São Jerônimo	23763
1491º	2109007	Porto Franco	23760
1492º	2805505	Poço Verde	23740
1493º	3162708	São João do Paraíso	23729
1494º	2930774	Sobradinho	23713
1495º	4322202	Tupanciretã	23705
1496º	4216909	São Lourenço do Oeste	23698
1497º	3204005	Pancas	23697
1498º	3132701	Itambacuri	23637
1499º	3100203	Abaeté	23611
1500º	2412500	São Miguel	23610
1501º	2921104	Medeiros Neto	23586
1502º	2102903	Carutapera	23576
1503º	2925956	Rafael Jambeiro	23562
1504º	5004502	Itaporã	23539
1505º	3304151	Quissamã	23535
1506º	4315305	Quaraí	23532
1507º	2912103	Ibicaraí	23529
1508º	2102309	Buriti Bravo	23495
1509º	2512309	Princesa Isabel	23489
1510º	3143401	Monte Sião	23444
1511º	4320107	Sarandi	23398
1512º	2611903	Rio Formoso	23379
1513º	2931509	Teofilândia	23378
1514º	2900801	Alcobaça	23376
1515º	3540754	Potim	23360
1516º	2926202	Riachão das Neves	23313
1517º	3553302	Tambaú	23267
1518º	3521408	Iracemápolis	23264
1519º	2301604	Assaré	23254
1520º	3118403	Conselheiro Pena	23240
1521º	3553807	Taquarituba	23240
1522º	4117305	Ortigueira	23200
1523º	1721208	Tocantinópolis	23119
1524º	1502004	Cachoeira do Arari	23110
1525º	2304004	Coreaú	23107
1526º	2614857	Tamandaré	23100
1527º	1506302	Salvaterra	23096
1528º	2106508	Matinha	23091
1529º	1303700	Santo Antônio do Içá	23075
1530º	1502509	Chaves	23066
1531º	2105500	João Lisboa	23042
1532º	2908200	Conceição da Feira	23024
1533º	5004700	Ivinhema	23021
1534º	2108454	Peritoró	23019
1535º	2920502	Maracás	23018
1536º	2922409	Mutuípe	22998
1537º	4124053	Santa Terezinha de Itaipu	22992
1538º	3554300	Teodoro Sampaio	22914
1539º	2103802	Dom Pedro	22912
1540º	3162955	São José da Lapa	22910
1541º	4113502	Loanda	22903
1542º	2600807	Altinho	22896
1543º	2916104	Itaparica	22866
1544º	2923209	Oliveira dos Brejinhos	22805
1545º	2607000	Inajá	22801
1546º	3548005	Santo Antônio de Posse	22801
1547º	3139508	Manhumirim	22784
1548º	2501104	Areia	22776
1549º	2906907	Caravelas	22740
1550º	4206306	Guabiruba	22732
1551º	2600906	Amaraji	22726
1552º	4211702	Orleans	22723
1553º	3302106	Itaocara	22694
1554º	5220207	São Miguel do Araguaia	22684
1555º	4120804	Quatro Barras	22651
1556º	2613206	São João	22628
1557º	4215703	Santo Amaro da Imperatriz	22609
1558º	5005202	Ladário	22590
1559º	2605608	Flores	22567
1560º	2923407	Palmas de Monte Alto	22553
1561º	4203907	Capinzal	22524
1562º	4310801	Ivoti	22514
1563º	2610806	Pedra	22505
1564º	2702603	Feira Grande	22481
1565º	2904100	Boquira	22464
1566º	2407807	Monte Alegre	22462
1567º	3301405	Conceição de Macabu	22461
1568º	1100940	Cujubim	22443
1569º	4206702	Herval d'Oeste	22443
1570º	2302008	Barro	22440
1571º	1507474	São João de Pirabas	22415
1572º	5001904	Bataguassu	22389
1573º	2933505	Wenceslau Guimarães	22365
1574º	2303006	Caridade	22320
1575º	2923605	Paramirim	22286
1576º	4104659	Carambeí	22282
1577º	2308906	Morrinhos	22222
1578º	3115508	Caxambu	22208
1579º	3535309	Palmital	22196
1580º	4114104	Mandaguaçu	22164
1581º	3133501	Itapecerica	22158
1582º	5205406	Ceres	22155
1583º	2911808	Guaratinga	22154
1584º	1304401	Urucurituba	22148
1585º	3114204	Carmo do Cajuru	22136
1586º	4306809	Encantado	22128
1587º	1100254	Presidente Médici	22124
1588º	2902807	Barra da Estiva	22082
1589º	4205704	Garopaba	22082
1590º	4320909	Tapejara	22077
1591º	5200134	Acreúna	22076
1592º	3110509	Camanducaia	22057
1593º	4100509	Altônia	21988
1594º	3529708	Miguelópolis	21973
1595º	2929107	São Felipe	21964
1596º	2605400	Feira Nova	21958
1597º	3143203	Monte Santo de Minas	21949
1598º	3513603	Cunha	21929
1599º	2702108	Colônia Leopoldina	21926
1600º	4212809	Balneário Piçarras	21884
1601º	2311504	Quixeré	21876
1602º	2503001	Caaporã	21872
1603º	2509107	Mari	21854
1604º	2801405	Carira	21842
1605º	2909604	Crisópolis	21835
1606º	2904753	Buritirama	21786
1607º	3142908	Monte Azul	21783
1608º	2705705	Olho d'Água das Flores	21767
1609º	4128005	Ubiratã	21762
1610º	2102705	Cantanhede	21759
1611º	2112233	Trizidela do Vale	21749
1612º	5002902	Cassilândia	21748
1613º	1100148	Nova Brasilândia d'Oeste	21747
1614º	5201306	Anicuns	21746
1615º	1707009	Dianópolis	21738
1616º	2932705	Uruçuca	21711
1617º	5210901	Itapaci	21691
1618º	4318200	São Francisco de Paula	21679
1619º	3540002	Pompeia	21674
1620º	2100204	Alcântara	21673
1621º	2408904	Parelhas	21669
1622º	4106506	Coronel Vivida	21666
1623º	2915502	Itajuípe	21642
1624º	5106307	Paranatinga	21612
1625º	2313807	Uruburetama	21609
1626º	2800209	Aquidabã	21589
1627º	3205036	Vargem Alta	21584
1628º	3147204	Paraguaçu	21583
1629º	2103174	Centro Novo do Maranhão	21565
1630º	3133303	Itaobim	21559
1631º	1200450	Senador Guiomard	21552
1632º	2701308	Cajueiro	21526
1633º	2604502	Chã Grande	21525
1634º	4208104	Itaiópolis	21506
1635º	2911600	Governador Mangabeira	21495
1636º	5002209	Bonito	21483
1637º	2931202	Taperoá	21462
1638º	3527405	Lucélia	21461
1639º	3114402	Carmo do Rio Claro	21458
1640º	3149903	Perdões	21444
1641º	3111002	Campestre	21440
1642º	3167103	Serro	21435
1643º	2927507	Santa Bárbara	21415
1644º	3141405	Medina	21409
1645º	1300144	Apuí	21406
1646º	2902609	Baixa Grande	21403
1647º	2301307	Araripe	21398
1648º	2610400	Parnamirim	21383
1649º	4319000	São Marcos	21364
1650º	5101407	Aripuanã	21357
1651º	4112108	Jandaia do Sul	21341
1652º	2608503	Lagoa de Itaenga	21338
1653º	3204203	Piúma	21336
1654º	2932507	Una	21331
1655º	2931004	Tanhaçu	21315
1656º	2920700	Maraú	21313
1657º	5103502	Diamantino	21294
1658º	2106326	Maracaçumé	21293
1659º	2309508	Orós	21292
1660º	2613305	São Joaquim do Monte	21257
1661º	3305604	Silva Jardim	21253
1662º	3301504	Cordeiro	21250
1663º	4302709	Butiá	21247
1664º	2917102	Itororó	21241
1665º	4106605	Cruzeiro do Oeste	21237
1666º	2211209	Uruçuí	21188
1667º	4219002	Urussanga	21177
1668º	2924603	Pindobaçu	21171
1669º	2501500	Bananeiras	21156
1670º	2107704	Paraibano	21116
1671º	3305158	São José do Vale do Rio Preto	21114
1672º	3142809	Monte Alegre de Minas	21095
1673º	3517703	Guará	21081
1674º	3505807	Bastos	21073
1675º	3533007	Nova Granada	21071
1676º	2609154	Manari	21047
1677º	3502754	Araçariguama	21038
1678º	3547700	Santo Anastácio	21030
1679º	3144102	Muzambinho	21026
1680º	2919926	Madre de Deus	21007
1681º	3147303	Paraisópolis	20983
1682º	2301950	Barreira	20978
1683º	2613404	São José da Coroa Grande	20963
1684º	4316006	Rolante	20920
1685º	1100403	Alto Paraíso	20916
1686º	2111706	São Vicente Ferrer	20913
1687º	1303007	Nhamundá	20902
1688º	3105905	Barroso	20882
1689º	2101905	Bequimão	20881
1690º	3137809	Lambari	20870
1691º	2108702	Pio XII	20861
1692º	2311264	Quiterianópolis	20860
1693º	5008008	Terenos	20855
1694º	1506583	Santa Maria das Barreiras	20849
1695º	2202307	Canto do Buriti	20831
1696º	1400209	Caracaraí	20807
1697º	2932101	Ubaíra	20800
1698º	4314605	Piratini	20799
1699º	1504950	Nova Esperança do Piriá	20789
1700º	3171006	Vazante	20784
1701º	5006002	Nova Alvorada do Sul	20772
1702º	4101101	Andirá	20769
1703º	2107357	Nova Olinda do Maranhão	20768
1704º	3202207	Fundão	20757
1705º	5102702	Canarana	20707
1706º	2402303	Caraúbas	20707
1707º	2500403	Alagoa Nova	20689
1708º	2306603	Itatira	20675
1709º	4313201	Nova Petrópolis	20675
1710º	2601607	Belém do São Francisco	20670
1711º	2108108	Paulo Ramos	20657
1712º	2310852	Pindoretama	20644
1713º	5106257	Nova Xavantina	20639
1714º	3517505	Guapiaçu	20637
1715º	5004601	Itaquiraí	20637
1716º	2106706	Mirador	20613
1717º	1600535	Porto Grande	20611
1718º	2211308	Valença do Piauí	20588
1719º	4310330	Imbé	20578
1720º	4127502	Tibagi	20562
1721º	3540903	Pradópolis	20516
1722º	4126603	Siqueira Campos	20508
1723º	2916005	Itanhém	20501
1724º	1506351	Santa Bárbara do Pará	20492
1725º	2932200	Ubaitaba	20489
1726º	5220603	Silvânia	20478
1727º	5209705	Hidrolândia	20472
1728º	2700102	Água Branca	20467
1729º	2616209	Vertentes	20460
1730º	2303600	Catarina	20451
1731º	2929701	Sátiro Dias	20429
1732º	2501005	Araruna	20418
1733º	4313060	Nova Hartz	20405
1734º	2611705	Riacho das Almas	20392
1735º	1600402	Mazagão	20387
1736º	3511003	Castilho	20362
1737º	4310009	Ibirubá	20355
1738º	3526001	Junqueirópolis	20353
1739º	2505105	Cuité	20348
1740º	2707503	Porto Real do Colégio	20327
1741º	2916807	Itarantim	20314
1742º	2111003	São João Batista	20307
1743º	3137700	Lajinha	20301
1744º	4213500	Porto Belo	20294
1745º	3529906	Miracatu	20288
1746º	4301008	Arroio do Meio	20272
1747º	2601052	Araçoiaba	20268
1748º	2210003	São João do Piauí	20258
1749º	2305209	Hidrolândia	20215
1750º	2603108	Cachoeirinha	20209
1751º	2709103	Taquarana	20205
1752º	2704401	Major Izidoro	20200
1753º	1300102	Anori	20196
1754º	2207801	Paulistana	20192
1755º	2900207	Abaré	20189
1756º	3146305	Padre Paraíso	20177
1757º	2806206	Salgado	20168
1758º	2514503	São José de Piranhas	20163
1759º	5003256	Costa Rica	20159
1760º	3523503	Itatinga	20158
1761º	4124400	Santo Antônio do Sudoeste	20158
1762º	3122009	Divino	20133
1763º	4217402	Schroeder	20095
1764º	3111101	Campina Verde	20079
1765º	2306504	Itapiúna	20014
1766º	2805802	Riachão do Dantas	20014
1767º	4311205	Júlio de Castilhos	20012
1768º	3510302	Capela do Alto	20005
1769º	5218904	Rubiataba	19994
1770º	2603801	Capoeiras	19991
1771º	3542404	Regente Feijó	19985
1772º	2102606	Cândido Mendes	19943
1773º	5103304	Comodoro	19932
1774º	4105409	Chopinzinho	19911
1775º	5201702	Aragarças	19884
1776º	4128500	Wenceslau Braz	19856
1777º	3101904	Alpinópolis	19846
1778º	2307635	Madalena	19800
1779º	5204904	Campos Belos	19786
1780º	2912202	Ibicoara	19786
1781º	2932804	Utinga	19780
1782º	2106300	Magalhães de Almeida	19779
1783º	3169703	Turmalina	19762
1784º	3113701	Carlos Chagas	19750
1785º	1503044	Floresta do Araguaia	19746
1786º	3508009	Buri	19737
1787º	3131208	Ipanema	19736
1788º	3535804	Paranapanema	19730
1789º	5107305	São José do Rio Claro	19728
1790º	3170909	Varzelândia	19723
1791º	2109502	Riachão	19701
1792º	3301108	Cantagalo	19697
1793º	5220405	São Simão	19697
1794º	2920106	Mairi	19695
1795º	1101492	São Francisco do Guaporé	19694
1796º	2305357	Icapuí	19685
1797º	2313757	Umirim	19679
1798º	1301605	Fonte Boa	19669
1799º	3159803	Santa Vitória	19646
1800º	3167608	Simonésia	19633
1801º	2929255	São Gabriel	19613
1802º	3153400	Presidente Olegário	19599
1803º	1303502	Pauini	19597
1804º	5205513	Cocalzinho de Goiás	19583
1805º	2500601	Alhandra	19579
1806º	2512705	Remígio	19579
1807º	2917201	Ituaçu	19577
1808º	2901601	Antas	19569
1809º	5007406	Rio Verde de Mato Grosso	19569
1810º	2901205	Anagé	19568
1811º	3134608	Jaboticatubas	19545
1812º	3536208	Pariquera-Açu	19537
1813º	4208807	Jaguaruna	19527
1814º	2932457	Umburanas	19522
1815º	4212908	Pinhalzinho	19511
1816º	2307254	Jijoca de Jericoacoara	19510
1817º	2903805	Boa Vista do Tupim	19502
1818º	2908101	Cocos	19498
1819º	3515152	Engenheiro Coelho	19497
1820º	3511409	Cerqueira César	19495
1821º	1301506	Envira	19492
1822º	5106232	Nova Olímpia	19465
1823º	2202000	Buriti dos Lopes	19464
1824º	3204351	Rio Bananal	19457
1825º	4126306	Sengés	19443
1826º	2603900	Carnaíba	19440
1827º	2107605	Palmeirândia	19424
1828º	4101200	Antonina	19420
1829º	3100906	Águas Formosas	19416
1830º	2600203	Afrânio	19411
1831º	2202604	Castelo do Piauí	19410
1832º	3203502	Montanha	19391
1833º	4318101	São Francisco de Assis	19382
1834º	3128303	Guaranésia	19378
1835º	2910404	Encruzilhada	19376
1836º	3139300	Manga	19372
1837º	4104501	Capanema	19364
1838º	4208450	Itapoá	19355
1839º	4309605	Horizontina	19338
1840º	1506559	Santa Luzia do Pará	19316
1841º	3104908	Baependi	19315
1842º	2904852	Cabaceiras do Paraguaçu	19312
1843º	2107100	Morros	19282
1844º	2108009	Pastos Bons	19271
1845º	2904704	Buerarema	19256
1846º	5212204	Jussara	19239
1847º	3531506	Monte Azul Paulista	19234
1848º	2107407	Olho d'Água das Cunhãs	19206
1849º	2303956	Chorozinho	19197
1850º	3526100	Juquiá	19192
1851º	2511905	Pitimbu	19182
1852º	5003801	Fátima do Sul	19181
1853º	3139201	Malacacheta	19157
1854º	2501302	Aroeiras	19154
1855º	4218301	Três Barras	19146
1856º	2102507	Cajari	19110
1857º	2919702	Macarani	19110
1858º	2606507	Iati	19100
1859º	2614006	Serrita	19080
1860º	3108305	Borda da Mata	19055
1861º	1713205	Miracema do Tocantins	19055
1862º	1300201	Atalaia do Norte	19054
1863º	5103007	Chapada dos Guimarães	19049
1864º	2917805	Jaguaripe	19036
1865º	3508702	Caconde	19025
1866º	2908002	Coaraci	19022
1867º	3124005	Ervália	19015
1868º	4212205	Papanduva	19015
1869º	2905305	Cafarnaum	19006
1870º	2104099	Formosa da Serra Negra	18997
1871º	3114501	Carmópolis de Minas	18995
1872º	1300631	Beruri	18978
1873º	2804409	Neópolis	18953
1874º	2504405	Conceição	18944
1875º	4301305	Arroio Grande	18922
1876º	3140902	Matipó	18914
1877º	4106803	Cruz Machado	18907
1878º	2313351	Tejuçuoca	18902
1879º	4101002	Ampére	18886
1880º	2107902	Passagem Franca	18839
1881º	3304110	Porto Real	18829
1882º	2303303	Cariús	18804
1883º	2109270	Presidente Sarney	18797
1884º	2205201	Jaicós	18782
1885º	1304237	Tonantins	18782
1886º	5200100	Abadiânia	18775
1887º	2311702	Reriutaba	18769
1888º	2700706	Batalha	18757
1889º	3203700	Muniz Freire	18745
1890º	2511400	Picuí	18737
1891º	4121208	Quitandinha	18733
1892º	2921401	Mirangaba	18729
1893º	4206900	Ibirama	18721
1894º	2304301	Farias Brito	18720
1895º	2507101	Itapororoca	18715
1896º	2605152	Dormentes	18692
1897º	5103379	Cotriguaçu	18689
1898º	5101902	Brasnorte	18688
1899º	1708205	Formoso do Araguaia	18684
1900º	2111607	São Raimundo das Mangabeiras	18680
1901º	2912400	Ibipeba	18678
1902º	2303105	Cariré	18660
1903º	2803302	Japaratuba	18656
1904º	3556800	Viradouro	18654
1905º	2703304	Inhapi	18652
1906º	2806008	Ribeirópolis	18641
1907º	4202453	Bombinhas	18623
1908º	2512002	Pocinhos	18622
1909º	2101509	Barão de Grajaú	18619
1910º	1303205	Novo Airão	18586
1911º	2603504	Camocim de São Félix	18583
1912º	3159902	Santo Antônio do Amparo	18553
1913º	1302801	Maraã	18531
1914º	2406106	Jucurutu	18530
1915º	1200385	Plácido de Castro	18510
1916º	3500501	Águas de Lindóia	18509
1917º	5204409	Caiapônia	18505
1918º	2800506	Areia Branca	18489
1919º	1300680	Boa Vista do Ramos	18483
1920º	1508050	Trairão	18469
1921º	1100064	Colorado do Oeste	18467
1922º	5107107	São José dos Quatro Marcos	18452
1923º	2910750	Fátima	18443
1924º	3132107	Itacarambi	18443
1925º	2702553	Estrela de Alagoas	18435
1926º	2108801	Pirapemas	18413
1927º	3138807	Luz	18400
1928º	5007935	Sonora	18393
1929º	5107800	Santo Antônio de Leverger	18392
1930º	2110401	São Benedito do Rio Preto	18377
1931º	3512001	Colina	18376
1932º	3131158	Ipaba	18375
1933º	2100832	Apicum-Açu	18374
1934º	2111078	São João do Soter	18345
1935º	2901908	Aporá	18334
1936º	3501152	Alumínio	18324
1937º	2930303	Serra Dourada	18320
1938º	2104552	Governador Edison Lobão	18316
1939º	4211751	Otacílio Costa	18313
1940º	2801702	Cristinápolis	18270
1941º	2924306	Piatã	18267
1942º	3301207	Carmo	18264
1943º	4217808	Taió	18261
1944º	2616001	Venturosa	18258
1945º	1507979	Terra Santa	18257
1946º	3304102	Porciúncula	18248
1947º	2903508	Belo Campo	18247
1948º	2111409	São Luís Gonzaga do Maranhão	18247
1949º	3104502	Arinos	18243
1950º	2313955	Varjota	18239
1951º	2908309	Conceição do Almeida	18229
1952º	2905404	Cairu	18224
1953º	2507705	Juazeirinho	18213
1954º	2924207	Pedro Alexandre	18209
1955º	3535606	Paraibuna	18206
1956º	2908705	Condeúba	18191
1957º	2704104	Lagoa da Canoa	18175
1958º	3137502	Lagoa Formosa	18175
1959º	3539103	Pirapora do Bom Jesus	18174
1960º	1200708	Xapuri	18174
1961º	5100300	Alto Araguaia	18164
1962º	2506806	Ingá	18163
1963º	2313005	Solonópole	18158
1964º	3137007	Ladainha	18152
1965º	3530201	Mirante do Paranapanema	18130
1966º	3117504	Conceição do Mato Dentro	18126
1967º	2208205	Pio IX	18125
1968º	3302809	Mendes	18123
1969º	3532405	Nazaré Paulista	18121
1970º	2929602	Sapeaçu	18114
1971º	2801009	Campo do Brito	18111
1972º	5005681	Mundo Novo	18103
1973º	2604700	Correntes	18098
1974º	1702554	Augustinópolis	18089
1975º	2706802	Piaçabuçu	18074
1976º	3155801	Rio Pomba	18061
1977º	3115102	Cássia	18057
1978º	2301851	Banabuiú	18027
1979º	2923357	Ourolândia	18025
1980º	3144706	Nova Era	17994
1981º	5217708	Pontalina	17991
1982º	2705200	Messias	17988
1983º	3304409	Rio Claro	17988
1984º	2701605	Canapi	17983
1985º	2907608	Central	17969
1986º	4106209	Contenda	17961
1987º	2306702	Jaguaretama	17958
1988º	2913101	Ibititá	17948
1989º	1200427	Rodrigues Alves	17945
1990º	2500700	São João do Rio do Peixe	17940
1991º	1100056	Cerejeiras	17934
1992º	1304104	Tapauá	17930
1993º	3150802	Piranga	17918
1994º	1200336	Mâncio Lima	17910
1995º	3108008	Bom Sucesso	17907
1996º	2613800	São Vicente Férrer	17904
1997º	3524600	Jacupiranga	17900
1998º	1200351	Marechal Thaumaturgo	17897
1999º	4105201	Cerro Azul	17885
2000º	2931053	Tanque Novo	17884
2001º	3521705	Itaberá	17879
2002º	2304236	Croatá	17874
2003º	3148608	Peçanha	17871
2004º	2111805	Sítio Novo	17851
2005º	4200101	Abelardo Luz	17847
2006º	2608453	Lagoa do Carro	17847
2007º	2931301	Tapiramutá	17845
2008º	2502508	Boqueirão	17842
2009º	2700201	Anadia	17818
2010º	2802809	Indiaroba	17810
2011º	3544251	Rosana	17795
2012º	3161007	São Domingos do Prata	17787
2013º	3305406	Sapucaia	17765
2014º	2907905	Cipó	17739
2015º	3154309	Resplendor	17715
2016º	1506161	Rio Maria	17705
2017º	2931806	Tremedal	17700
2018º	2208809	Regeneração	17698
2019º	2501906	Belém	17685
2020º	2302909	Capistrano	17668
2021º	3508801	Cafelândia	17645
2022º	3517604	Guapiara	17640
2023º	4115606	Matelândia	17640
2024º	3512308	Conchas	17638
2025º	2303402	Carnaubal	17631
2026º	4127403	Terra Roxa	17627
2027º	3523602	Itirapina	17589
2028º	3511607	Cesário Lange	17587
2029º	2104404	Gonçalves Dias	17586
2030º	2412609	São Paulo do Potengi	17572
2031º	1507102	São Caetano de Odivelas	17563
2032º	2504900	Cruz do Espírito Santo	17559
2033º	3518503	Guareí	17551
2034º	4211207	Morro da Fumaça	17532
2035º	2920205	Malhada	17526
2036º	4217501	Seara	17526
2037º	2900405	Água Fria	17508
2038º	2930808	Souto Soares	17503
2039º	2312106	Santana do Cariri	17489
2040º	4205803	Garuva	17479
2041º	1200807	Porto Acre	17459
2042º	1502772	Curionópolis	17453
2043º	2101301	Bacuri	17435
2044º	4321105	Tapes	17425
2045º	1100080	Costa Marques	17400
2046º	2210409	São Miguel do Tapuio	17395
2047º	3514908	Elias Fausto	17393
2048º	1505403	Ourém	17356
2049º	2932606	Urandi	17356
2050º	2701704	Capela	17354
2051º	2900355	Adustina	17349
2052º	1200252	Epitaciolândia	17340
2053º	2200509	Amarante	17322
2054º	2906824	Canudos	17316
2055º	4107603	Faxinal	17306
2056º	2804003	Maruim	17297
2057º	4114401	Mangueirinha	17269
2058º	4105706	Clevelândia	17250
2059º	1501451	Belterra	17249
2060º	2912905	Ibirataia	17221
2061º	3543006	Ribeirão Branco	17220
2062º	2300408	Aiuaba	17194
2063º	4106308	Corbélia	17193
2064º	4312658	Não-Me-Toque	17185
2065º	2910859	Filadélfia	17176
2066º	4103453	Cafelândia	17175
2067º	3203130	João Neiva	17168
2068º	2503506	Cacimba de Dentro	17156
2069º	2922706	Nova Canaã	17141
2070º	2904050	Bonito	17131
2071º	2200202	Água Branca	17119
2072º	3551900	Severínia	17115
2073º	3528007	Macatuba	17111
2074º	4121406	Realeza	17111
2075º	4300109	Agudo	17085
2076º	3127008	Fronteira	17072
2077º	4309001	Giruá	17069
2078º	3523305	Itariri	17062
2079º	2101251	Bacabeira	17053
2080º	2308609	Monsenhor Tabosa	17038
2081º	2608008	Jataúba	17026
2082º	2108900	Poção de Pedras	17023
2083º	2500809	Araçagi	17003
2084º	3540804	Potirendaba	17002
2085º	4214003	Presidente Getúlio	16996
2086º	4127205	Terra Boa	16991
2087º	2300705	Alto Santo	16976
2088º	1304302	Urucará	16968
2089º	5106372	Pedra Preta	16965
2090º	4213708	Pouso Redondo	16957
2091º	2516300	Sumé	16957
2092º	3138609	Lima Duarte	16910
2093º	2106631	Matões do Norte	16908
2094º	5107701	Rosário Oeste	16908
2095º	3151701	Poço Fundo	16903
2096º	3545001	Salesópolis	16903
2097º	5206404	Crixás	16893
2098º	2924504	Pindaí	16889
2099º	5006903	Porto Murtinho	16879
2100º	1400175	Cantá	16877
2101º	2607802	Itaquitinga	16859
2102º	2913002	Ibitiara	16855
2103º	1400308	Mucajaí	16852
2104º	3504602	Bady Bassitt	16843
2105º	3508108	Buritama	16841
2106º	2909208	Coronel João Sá	16814
2107º	2901155	América Dourada	16798
2108º	2912301	Ibicuí	16796
2109º	3511706	Charqueada	16772
2110º	3169000	Tocantins	16766
2111º	4319406	São Pedro do Sul	16763
2112º	1100346	Alvorada d'Oeste	16747
2113º	2106409	Mata Roma	16745
2114º	2310902	Piquet Carneiro	16731
2115º	4215505	Santa Cecília	16701
2116º	4208401	Itapiranga	16683
2117º	3538105	Pindorama	16656
2118º	2903607	Biritinga	16653
2119º	2104008	Esperantinópolis	16653
2120º	4308904	Getúlio Vargas	16648
2121º	3145109	Nova Resende	16645
2122º	3537008	Pedregulho	16645
2123º	3152402	Poté	16641
2124º	4102901	Bituruna	16627
2125º	3110905	Campanha	16627
2126º	2915007	Itaetê	16586
2127º	2104602	Governador Eugênio Barros	16582
2128º	4127304	Terra Rica	16578
2129º	3203346	Marechal Floriano	16545
2130º	2300150	Acarape	16543
2131º	4116208	Morretes	16540
2132º	1720903	Taguatinga	16530
2133º	1501576	Bom Jesus do Tocantins	16517
2134º	5107065	Querência	16512
2135º	4126504	Sertanópolis	16485
2136º	3147600	Passa Quatro	16470
2137º	4210605	Massaranduba	16455
2138º	4204251	Cocal do Sul	16446
2139º	3153905	Raposos	16390
2140º	2106375	Maranhãozinho	16366
2141º	4127601	Tijucas do Sul	16348
2142º	1301654	Guajará	16339
2143º	2311959	Salitre	16331
2144º	2105476	Jenipapo dos Vieiras	16321
2145º	4315503	Restinga Sêca	16315
2146º	2903276	Barrocas	16296
2147º	2913408	Igaporã	16283
2148º	2801504	Carmópolis	16275
2149º	2304459	Fortim	16272
2150º	4212106	Palmitos	16253
2151º	3112604	Capinópolis	16250
2152º	4316600	Sananduva	16237
2153º	5101258	Araputanga	16223
2154º	1504976	Nova Ipixuna	16221
2155º	3501004	Altinópolis	16219
2156º	2608701	Lagoa dos Gatos	16218
2157º	2102077	Bom Lugar	16214
2158º	2103554	Conceição do Lago Açu	16192
2159º	1101401	Monte Negro	16186
2160º	4320404	Serafina Corrêa	16184
2161º	3157906	Santa Margarida	16173
2162º	2310803	Pereiro	16163
2163º	3552700	Tabatinga	16159
2164º	1600709	Tartarugalzinho	16112
2165º	2905156	Caetanos	16106
2166º	3108552	Brasilândia de Minas	16105
2167º	3170529	Urucuia	16095
2168º	2511301	Piancó	16091
2169º	3162807	São João Evangelista	16083
2170º	3133758	Itaú de Minas	16082
2171º	2700508	Barra de Santo Antônio	16064
2172º	4104402	Cândido de Abreu	16059
2173º	2923050	Novo Triunfo	16037
2174º	2930402	Serra Preta	16036
2175º	2918753	Lagoa Real	16029
2176º	3515400	Fartura	16028
2177º	2105906	Lago Verde	16025
2178º	2105351	Itaipava do Grajaú	16009
2179º	2918506	Jussara	16006
2180º	4101903	Assaí	15999
2181º	2608206	Joaquim Nabuco	15989
2182º	5107008	Poxoréu	15985
2183º	4104428	Candói	15978
2184º	4126801	Tapejara	15962
2185º	1501006	Aveiro	15947
2186º	2108058	Paulino Neves	15937
2187º	3156809	Sabinópolis	15936
2188º	2313559	Tururu	15935
2189º	1400050	Alto Alegre	15933
2190º	3521309	Ipuã	15932
2191º	3127800	Grão Mogol	15931
2192º	3149804	Perdizes	15925
2193º	1300029	Alvarães	15908
