Município	IBGE	Neoplasias (tumores)	Doenças do aparelho circulatório	Causas externas de morbidade e mortalidade	Sint sinais e achados anorm ex clin e labor	Neoplasias (tumores)	Doenças do aparelho circulatório	Causas externas de morbidade e mortalidade	Sint sinais e achados anorm ex clin e labor	Neoplasias (tumores)	Doenças do aparelho circulatório	Causas externas de morbidade e mortalidade	Sint sinais e achados anorm ex clin e labor	Neoplasias (tumores)	Doenças do aparelho circulatório	Causas externas de morbidade e mortalidade	Sint sinais e achados anorm ex clin e labor	Neoplasias (tumores)	Doenças do aparelho circulatório	Causas externas de morbidade e mortalidade	Sint sinais e achados anorm ex clin e labor
290440 Brejolândia	2904407	0	0	6	2	6	4	8	9	4	0	5	15	6	3	6	8	4	0	6	11
290450 Brotas de Macaúbas	2904506	9	113	9	5	19	6	10	2	12	2	14	1	11	3	10	6	6	6	7	4
290460 Brumado	2904605	78	22	43	37	77	20	56	52	62	16	39	81	53	11	50	42	58	15	51	46
290470 Buerarema	2904704	5	18	14	27	26	19	31	19	21	18	12	27	16	21	13	31	16	7	15	20
290475 Buritirama	2904753	6	6	6	11	8	10	10	4	14	7	6	4	5	5	10	4	8	1	9	2
290480 Caatiba	2904803	5	18	2	14	5	2	6	9	4	3	3	11	5	2	1	6	5	2	5	7
290485 Cabaceiras do Paraguaçu	2904852	5	65	16	8	9	12	12	1	22	18	13	6	14	16	11	4	13	11	17	4
290490 Cachoeira	2904902	16	35	39	12	33	36	32	9	27	40	36	18	27	28	26	16	22	28	24	8
290500 Caculé	2905008	13	17	9	16	19	14	15	13	14	17	18	17	16	25	11	23	19	7	16	7
290510 Caém	2905107	6	19	9	8	5	8	10	14	3	8	4	25	4	4	11	25	3	0	8	8
290515 Caetanos	2905156	5	71	2	7	7	1	3	3	6	5	4	11	5	6	7	14	6	4	8	6
290520 Caetité	2905206	34	17	18	46	43	16	37	51	51	20	39	20	54	20	31	9	30	17	38	39
290530 Cafarnaum	2905305	6	6	8	7	13	10	16	10	20	8	14	0	16	4	10	10	11	4	10	40
290540 Cairu	2905404	0	31	13	3	8	3	17	2	12	5	11	8	9	10	9	6	5	4	6	2
290550 Caldeirão Grande	2905503	10	53	11	3	12	8	6	3	9	8	6	14	9	3	11	21	7	5	3	22
290560 Camacan	2905602	15	359	33	16	21	15	22	50	14	21	28	44	24	17	22	48	21	17	34	57
290570 Camaçari	2905701	111	35	383	57	197	93	352	58	204	84	295	51	185	60	312	29	154	63	296	58
290580 Camamu	2905800	4	22	40	33	23	13	54	28	13	21	41	16	16	25	27	23	11	15	32	31
290590 Campo Alegre de Lourdes	2905909	10	92	14	25	13	16	10	18	12	9	12	4	3	9	19	16	16	9	10	8
290600 Campo Formoso	2906006	26	10	26	103	30	23	48	102	38	27	43	75	27	17	37	125	31	10	40	102
290610 Canápolis	2906105	1	36	3	8	2	0	2	0	1	0	9	1	0	6	6	2	1	1	7	0
290620 Canarana	2906204	15	48	18	4	23	12	12	11	24	9	17	9	16	6	22	32	18	16	19	10
290630 Canavieiras	2906303	15	8	29	35	23	28	38	36	26	28	21	24	21	24	39	38	21	26	37	33
290640 Candeal	2906402	3	163	9	26	2	2	3	18	3	4	3	26	10	2	5	17	7	4	6	21
290650 Candeias	2906501	25	23	94	47	71	40	106	26	66	29	90	30	56	37	86	32	59	35	85	13
290660 Candiba	2906600	10	45	13	12	14	2	6	6	11	0	11	1	5	4	10	3	15	1	14	4
290670 Cândido Sales	2906709	18	59	16	27	14	13	21	39	9	14	14	47	17	5	25	56	7	9	27	51
290680 Cansanção	2906808	23	7	20	33	33	22	32	35	24	21	21	71	16	13	19	77	17	18	20	85
290682 Canudos	2906824	8	12	9	33	12	1	9	38	11	5	11	28	4	6	12	12	12	3	9	23
290685 Capela do Alto Alegre	2906857	3	87	5	34	11	4	9	14	5	1	9	18	6	5	12	9	8	2	9	13
290687 Capim Grosso	2906873	21	6	24	30	23	19	39	29	13	8	23	42	21	11	27	44	16	13	31	39
290689 Caraíbas	2906899	1	32	3	26	6	2	8	30	6	1	7	17	6	2	9	16	7	1	3	7
290690 Caravelas	2906907	11	6	21	11	16	10	11	23	14	7	21	10	9	7	22	10	8	5	15	12
290700 Cardeal da Silva	2907004	5	32	9	4	7	4	6	4	5	5	4	8	7	3	9	1	3	4	10	0
290710 Carinhanha	2907103	15	56	14	27	17	7	21	39	16	5	15	39	16	5	26	31	8	7	15	13
290720 Casa Nova	2907202	49	52	41	54	50	13	65	35	55	16	37	32	39	31	45	30	32	22	43	39
290730 Castro Alves	2907301	17	2	11	38	13	12	25	51	19	16	10	61	12	18	15	30	18	20	11	59
290740 Catolândia	2907400	0	0	1	0	2	0	2	2	4	0	2	1	1	0	2	1	1	0	1	7
290750 Catu	2907509	36	71	37	31	47	40	61	38	38	32	58	31	38	26	57	18	30	40	38	8
290755 Caturama	2907558	3	14	5	0	4	6	4	1	6	3	2	2	5	3	2	0	5	1	5	1
290760 Central	2907608	12	28	11	2	22	4	22	13	10	10	11	11	20	5	7	16	8	6	14	11
290770 Chorrochó	2907707	11	21	7	1	7	5	12	2	4	3	15	3	6	2	8	3	3	2	7	3
290780 Cícero Dantas	2907806	6	36	20	65	22	17	19	71	17	15	19	47	19	12	18	80	30	39	25	17
290790 Cipó	2907905	3	10	4	38	8	5	8	37	6	4	8	33	11	9	6	32	14	6	9	27
290800 Coaraci	2908002	7	29	13	44	24	16	19	35	16	20	27	31	22	21	20	38	19	10	14	33
290810 Cocos	2908101	5	19	11	6	3	7	6	3	3	2	8	17	4	2	2	21	4	1	7	26
290820 Conceição da Feira	2908200	7	22	16	16	21	23	26	11	13	12	13	13	21	9	13	11	23	11	12	11
290830 Conceição do Almeida	2908309	8	34	17	12	22	16	12	9	8	15	13	10	10	10	4	18	15	13	4	20
290840 Conceição do Coité	2908408	29	97	36	34	55	41	57	39	30	29	43	33	44	26	49	47	41	38	38	71
290850 Conceição do Jacuípe	2908507	12	38	23	28	27	19	58	27	26	14	38	34	22	15	30	43	20	13	25	21
290860 Conde	2908606	5	17	22	17	13	4	14	21	15	8	7	12	12	14	36	12	15	9	21	20
290870 Condeúba	2908705	11	31	13	27	15	6	15	14	19	16	15	8	17	9	15	23	20	9	15	13
290880 Contendas do Sincorá	2908804	4	3	4	3	1	7	4	1	5	1	3	2	7	4	2	2	2	5	3	0
290890 Coração de Maria	2908903	8	24	15	30	16	8	24	16	18	14	19	22	11	9	12	49	9	1	16	64
290900 Cordeiros	2909000	5	13	4	7	6	3	5	9	14	8	4	2	8	4	2	3	4	0	10	10
290910 Coribe	2909109	4	13	13	16	13	7	12	8	10	5	7	10	9	12	11	22	9	9	7	11
290920 Coronel João Sá	2909208	5	15	8	16	8	11	17	19	12	9	8	7	6	8	10	20	13	7	14	11
290930 Correntina	2909307	10	17	31	69	4	7	18	58	12	10	20	14	4	11	31	11	3	7	25	10
290940 Cotegipe	2909406	5	8	14	25	6	7	9	10	5	0	10	24	6	3	15	15	4	0	4	28
290950 Cravolândia	2909505	2	9	3	7	8	5	0	4	4	6	3	2	4	0	3	2	3	1	3	2
290960 Crisópolis	2909604	7	23	11	44	13	10	16	48	8	12	11	26	9	6	12	43	4	7	15	50
290970 Cristópolis	2909703	8	15	8	9	7	4	9	5	9	6	12	7	4	1	9	7	6	6	8	6
290980 Cruz das Almas	2909802	31	89	37	41	73	42	48	33	42	39	53	23	54	59	57	26	57	34	42	19
290990 Curaçá	2909901	12	49	21	19	22	8	34	5	16	8	24	9	25	6	36	9	22	9	32	19
291000 Dário Meira	2910008	3	9	8	13	11	4	6	16	10	1	8	14	7	7	5	15	4	8	2	13
291005 Dias d'Ávila	2910057	20	64	88	36	50	26	85	23	46	26	70	11	54	38	82	20	41	34	80	8
291010 Dom Basílio	2910107	12	11	7	5	16	3	8	4	7	4	15	4	17	3	10	5	16	2	7	3
291020 Dom Macedo Costa	2910206	1	4	2	5	5	5	2	3	7	3	3	2	3	4	2	0	1	2	7	1
291030 Elísio Medrado	2910305	6	11	2	7	9	11	5	3	9	11	2	5	8	12	7	4	10	6	3	5
291040 Encruzilhada	2910404	14	34	15	9	13	11	19	12	16	11	14	12	12	9	27	14	14	12	17	13
291050 Entre Rios	2910503	23	66	57	28	30	11	55	43	20	14	38	34	29	10	58	22	26	14	34	36
290050 Érico Cardoso	2900504	11	10	3	6	11	8	3	5	9	5	6	5	12	6	2	3	7	5	3	5
291060 Esplanada	2910602	14	52	45	27	24	18	39	25	21	12	37	20	20	19	38	20	19	18	36	5
291070 Euclides da Cunha	2910701	25	70	45	112	31	27	44	119	37	31	36	120	36	36	38	96	43	40	33	51
291072 Eunápolis	2910727	82	312	140	26	78	44	169	15	87	38	134	17	78	43	147	5	79	46	136	15
291075 Fátima	2910750	9	20	12	20	16	6	11	27	15	8	11	9	17	4	10	18	24	8	13	10
291077 Feira da Mata	2910776	1	2	2	3	1	0	2	3	5	1	2	6	2	0	4	1	2	1	2	1
291080 Feira de Santana	2910800	678	870	813	650	525	201	665	648	511	225	585	787	544	256	608	548	475	273	581	392
291085 Filadélfia	2910859	13	33	9	11	7	8	15	27	8	8	5	27	12	7	11	33	14	12	12	22
291090 Firmino Alves	2910909	2	6	1	6	4	0	7	9	5	4	1	8	1	1	4	3	4	0	5	3
291100 Floresta Azul	2911006	4	13	7	5	10	7	12	10	10	11	3	10	10	8	5	11	8	5	10	14
291110 Formosa do Rio Preto	2911105	18	16	20	8	10	8	25	3	10	2	19	5	9	6	22	4	7	3	21	7
291120 Gandu	2911204	12	39	24	34	15	24	27	51	23	18	27	39	18	22	27	12	19	25	19	16
291125 Gavião	2911253	1	2	12	10	2	0	5	6	5	2	1	3	0	0	3	13	0	2	4	14
291130 Gentio do Ouro	2911303	5	20	7	1	9	5	8	11	4	4	7	22	5	3	11	16	8	6	6	5
291140 Glória	2911402	6	18	9	3	12	3	17	1	11	5	12	1	10	5	12	2	9	6	4	4
291150 Gongogi	2911501	2	7	6	9	6	3	3	8	4	6	3	18	2	4	2	13	4	6	0	7
291160 Governador Mangabeira	2911600	13	13	23	16	16	17	12	13	23	15	28	8	16	20	26	11	16	8	20	10
291165 Guajeru	2911659	5	26	2	4	7	2	7	1	4	4	4	1	9	3	6	3	5	1	2	4
291170 Guanambi	2911709	113	224	123	7	83	32	73	19	91	33	66	18	67	28	65	14	75	31	75	8
291180 Guaratinga	2911808	10	18	14	18	6	4	16	2	16	4	17	4	9	6	13	0	12	8	20	2
291185 Heliópolis	2911857	9	9	8	16	12	2	8	7	18	2	9	14	2	2	6	30	10	5	10	19
291190 Iaçu	2911907	15	53	26	19	26	14	43	15	23	22	27	20	16	19	25	25	12	11	17	29
291200 Ibiassucê	2912004	10	20	5	2	19	7	8	5	14	7	6	10	4	4	8	8	15	3	8	7
291210 Ibicaraí	2912103	9	25	13	35	29	29	20	33	24	33	32	34	17	12	18	74	25	20	18	58
291220 Ibicoara	2912202	3	12	9	5	8	6	13	6	5	2	16	8	11	3	10	3	9	7	13	2
291230 Ibicuí	2912301	8	28	7	13	16	11	9	8	9	15	13	18	12	10	9	11	6	6	5	12
291240 Ibipeba	2912400	8	13	11	0	16	10	16	3	20	10	9	1	10	3	11	6	12	7	12	4
291250 Ibipitanga	2912509	10	18	6	3	10	12	6	5	13	8	8	1	6	8	10	5	14	5	8	6
291260 Ibiquera	2912608	2	1	3	4	4	2	2	4	0	0	3	3	2	1	2	9	2	0	1	9
291270 Ibirapitanga	2912707	10	25	34	32	9	12	41	45	12	13	22	38	11	10	26	43	8	10	19	22
291280 Ibirapuã	2912806	6	7	5	6	13	3	6	5	12	6	7	5	2	4	4	5	10	3	6	6
291290 Ibirataia	2912905	11	26	13	44	22	39	14	25	14	28	12	12	13	15	5	19	14	27	10	22
291300 Ibitiara	2913002	6	17	8	45	9	2	10	45	5	7	11	41	11	9	11	19	7	4	10	33
291310 Ibititá	2913101	12	26	9	3	18	12	15	6	9	4	14	24	9	4	15	47	7	8	12	50
291320 Ibotirama	2913200	12	72	35	12	16	8	36	19	15	14	33	20	11	10	15	30	17	10	21	33
291330 Ichu	2913309	3	6	1	1	1	3	3	5	5	2	3	17	4	3	3	4	7	3	5	5
291340 Igaporã	2913408	14	18	7	17	8	9	4	14	9	4	13	8	14	3	5	3	16	3	10	2
291345 Igrapiúna	2913457	1	11	13	4	7	8	16	3	9	4	7	5	7	4	10	10	6	3	3	5
291350 Iguaí	2913507	5	19	29	64	6	9	10	64	17	11	8	41	20	10	16	14	26	15	10	16
291360 Ilhéus	2913606	204	312	230	230	177	186	155	189	158	150	169	139	168	152	184	124	122	116	238	225
291370 Inhambupe	2913705	16	48	34	38	16	15	46	56	22	10	38	69	22	26	49	48	20	12	26	39
291380 Ipecaetá	2913804	5	21	5	16	10	1	15	20	13	6	5	18	8	4	15	19	10	10	9	23
291390 Ipiaú	2913903	50	74	55	78	42	28	50	99	36	37	47	100	35	39	39	60	38	37	48	57
291400 Ipirá	2914000	18	47	38	171	36	10	54	147	28	20	57	219	33	5	45	158	41	27	42	125
291410 Ipupiara	2914109	9	37	5	2	8	13	9	0	8	16	5	0	10	18	12	0	6	10	6	0
291420 Irajuba	2914208	5	7	8	10	4	4	3	12	3	4	3	19	5	1	3	22	5	1	2	19
291430 Iramaia	2914307	3	6	2	19	6	4	6	19	4	2	5	12	6	2	6	18	7	3	6	12
291440 Iraquara	2914406	19	37	11	2	20	16	21	4	23	12	13	2	17	10	17	4	14	10	19	10
291450 Irará	2914505	12	53	16	16	24	10	32	64	20	16	24	63	16	11	18	56	14	8	14	60
291460 Irecê	2914604	104	267	138	1	49	24	71	1	36	15	77	2	64	13	75	51	51	17	66	1
291465 Itabela	2914653	18	45	54	17	20	19	69	4	21	12	48	7	21	21	58	4	18	18	58	13
291470 Itaberaba	2914703	45	155	81	43	60	42	77	39	47	54	61	37	54	46	62	20	57	51	54	41
291480 Itabuna	2914802	451	669	288	100	232	191	230	168	241	164	196	112	229	156	289	210	229	116	248	137
291490 Itacaré	2914901	5	11	30	13	10	9	18	10	7	8	23	12	7	5	25	16	9	11	27	8
291500 Itaeté	2915007	6	19	18	1	7	8	12	16	5	4	8	14	6	8	8	19	12	2	5	6
291510 Itagi	2915106	11	31	6	6	11	9	5	7	8	12	8	8	15	10	2	12	11	12	9	5
291520 Itagibá	2915205	2	9	8	21	10	12	9	18	9	8	14	14	18	5	6	17	8	21	17	9
291530 Itagimirim	2915304	3	16	8	13	5	4	9	22	6	2	9	14	7	3	10	19	5	5	4	26
291535 Itaguaçu da Bahia	2915353	7	13	9	0	10	7	10	2	7	3	16	6	3	3	10	14	4	2	10	13
291540 Itaju do Colônia	2915403	3	9	6	4	5	5	5	6	3	5	4	10	1	5	4	7	1	4	8	14
291550 Itajuípe	2915502	2	20	19	19	17	22	28	41	26	26	21	26	19	20	18	23	17	33	15	16
