Município	IBGE	Neoplasias (tumores)	Doenças do aparelho circulatório	Causas externas de morbidade e mortalidade	Sint sinais e achados anorm ex clin e labor	Neoplasias (tumores)	Doenças do aparelho circulatório	Causas externas de morbidade e mortalidade	Sint sinais e achados anorm ex clin e labor	Neoplasias (tumores)	Doenças do aparelho circulatório	Causas externas de morbidade e mortalidade	Sint sinais e achados anorm ex clin e labor	Neoplasias (tumores)	Doenças do aparelho circulatório	Causas externas de morbidade e mortalidade	Sint sinais e achados anorm ex clin e labor	Neoplasias (tumores)	Doenças do aparelho circulatório	Causas externas de morbidade e mortalidade	Sint sinais e achados anorm ex clin e labor
292000 Maiquinique	2920007	2	9	7	12	6	5	2	6	2	3	2	12	1	2	4	4	7	0	7	4
292010 Mairi	2920106	8	35	16	13	16	17	15	7	16	20	17	26	13	19	10	10	18	19	11	25
292020 Malhada	2920205	7	22	12	7	9	6	6	20	6	3	7	22	3	2	14	9	4	3	2	3
292030 Malhada de Pedras	2920304	8	8	5	10	3	0	2	8	8	0	2	8	6	2	3	4	3	3	4	6
292040 Manoel Vitorino	2920403	1	13	3	15	5	5	11	33	11	5	9	38	2	2	9	20	8	6	11	24
292045 Mansidão	2920452	2	11	3	4	1	1	4	0	2	3	9	2	2	1	2	1	0	1	3	1
292050 Maracás	2920502	13	29	19	41	10	13	21	34	11	8	20	47	20	15	25	22	25	11	15	20
292060 Maragogipe	2920601	8	46	42	22	28	21	39	21	34	29	24	13	33	31	41	14	35	27	28	17
292070 Maraú	2920700	3	10	17	7	6	6	12	9	7	2	12	6	8	5	10	6	4	3	8	10
292080 Marcionílio Souza	2920809	6	20	1	5	9	7	6	6	7	11	7	5	3	7	7	9	4	4	4	11
292090 Mascote	2920908	0	4	25	29	10	2	15	33	6	8	18	23	4	3	14	22	5	7	33	6
292100 Mata de São João	2921005	17	65	54	16	54	18	52	16	30	19	38	9	37	22	53	14	38	14	52	10
292105 Matina	2921054	3	13	8	10	6	3	4	9	5	2	7	9	9	2	4	10	9	2	2	3
292110 Medeiros Neto	2921104	14	71	21	13	33	18	22	4	19	11	19	13	17	14	20	5	28	13	19	3
292120 Miguel Calmon	2921203	22	42	11	26	22	21	14	16	19	26	18	49	17	25	20	37	11	21	24	55
292130 Milagres	2921302	6	14	15	5	10	9	9	5	13	5	13	7	7	5	6	0	10	11	7	2
292140 Mirangaba	2921401	2	11	6	28	7	8	9	14	6	4	7	33	7	3	10	31	9	3	7	26
292145 Mirante	2921450	8	7	2	3	4	4	3	7	3	0	1	12	2	1	4	10	2	1	3	15
292150 Monte Santo	2921500	10	47	27	133	15	20	27	127	11	22	27	159	17	28	29	127	23	29	28	87
292160 Morpará	2921609	2	11	5	23	6	1	5	23	1	1	2	21	3	3	5	21	5	0	7	9
292170 Morro do Chapéu	2921708	29	78	30	14	39	20	27	10	24	13	27	10	23	20	32	34	25	25	12	27
292180 Mortugaba	2921807	6	13	6	32	5	2	8	24	6	5	6	32	3	4	7	28	7	1	10	17
292190 Mucugê	2921906	5	18	8	8	9	4	12	2	8	4	3	2	8	7	10	0	9	5	7	2
292200 Mucuri	2922003	17	36	44	25	25	15	37	23	24	20	39	13	19	12	36	13	21	18	32	16
292205 Mulungu do Morro	2922052	8	21	17	11	9	5	19	2	3	2	6	7	11	3	13	11	7	2	11	17
292210 Mundo Novo	2922102	5	13	9	63	14	7	22	60	5	12	12	50	8	14	15	58	13	7	5	55
292220 Muniz Ferreira	2922201	3	3	1	3	8	6	3	2	3	3	4	4	2	2	3	0	6	5	6	3
292225 Muquém de São Francisco	2922250	4	8	10	2	0	2	5	10	5	3	10	3	4	3	12	3	3	5	14	5
292230 Muritiba	2922300	15	34	21	7	30	24	19	9	21	26	22	4	16	20	22	8	15	20	25	5
292240 Mutuípe	2922409	7	34	15	25	18	12	18	17	21	15	16	10	22	16	7	14	12	19	10	5
292250 Nazaré	2922508	11	66	26	32	30	29	16	15	20	19	24	13	16	22	18	11	18	31	17	9
292260 Nilo Peçanha	2922607	1	8	11	11	4	7	14	15	7	6	4	15	5	5	7	14	4	2	6	10
292265 Nordestina	2922656	0	14	7	15	3	2	10	14	5	3	9	10	10	1	10	10	3	8	8	7
292270 Nova Canaã	2922706	9	26	4	9	10	1	0	29	9	2	5	45	4	0	7	33	4	3	7	36
292273 Nova Fátima	2922730	6	20	8	4	6	0	8	5	5	7	8	5	4	0	10	6	8	2	4	1
292275 Nova Ibiá	2922755	1	4	0	10	2	1	5	5	6	5	2	11	4	3	8	8	2	2	7	8
292280 Nova Itarana	2922805	1	16	8	0	6	2	13	5	5	5	4	5	4	9	7	5	5	4	1	12
292285 Nova Redenção	2922854	5	11	5	16	4	1	7	12	8	4	5	10	9	5	4	11	7	3	5	24
292290 Nova Soure	2922904	6	19	13	85	10	7	27	99	6	2	24	90	13	3	16	85	11	5	13	51
292300 Nova Viçosa	2923001	23	52	44	32	27	13	43	37	22	22	42	39	17	17	41	29	28	14	47	20
292303 Novo Horizonte	2923035	9	15	6	2	10	5	8	15	6	2	4	10	7	2	5	17	4	3	3	2
292305 Novo Triunfo	2923050	2	2	4	13	2	1	7	7	11	7	4	7	5	6	7	6	8	1	3	11
292310 Olindina	2923100	11	19	23	48	13	10	25	57	21	13	22	43	13	14	26	36	9	20	24	16
292320 Oliveira dos Brejinhos	2923209	13	24	19	28	14	6	22	38	12	7	21	32	11	8	15	31	6	7	14	42
292330 Ouriçangas	2923308	4	11	2	13	3	2	13	19	6	6	9	19	3	2	4	24	5	5	1	7
292335 Ourolândia	2923357	12	14	14	9	9	4	15	15	3	2	15	27	5	3	10	35	4	5	13	28
292340 Palmas de Monte Alto	2923407	13	20	13	24	13	8	9	25	12	8	15	22	8	6	16	14	13	4	22	5
292350 Palmeiras	2923506	0	1	5	20	1	1	6	14	4	2	7	29	4	1	3	10	6	5	2	16
292360 Paramirim	2923605	19	65	15	7	21	11	12	11	24	8	13	6	23	9	6	5	21	4	9	5
292370 Paratinga	2923704	4	35	15	77	4	3	14	83	7	5	9	66	9	6	13	30	11	12	11	25
292380 Paripiranga	2923803	10	23	10	65	20	7	16	44	19	13	10	34	26	23	24	11	15	19	24	19
292390 Pau Brasil	2923902	4	14	10	1	8	5	15	4	5	7	8	3	9	5	19	4	5	11	8	8
292400 Paulo Afonso	2924009	102	234	89	43	114	76	111	41	102	52	113	34	103	57	93	39	98	47	99	9
292405 Pé de Serra	2924058	3	23	9	16	13	7	11	12	10	1	6	25	6	8	9	19	7	2	13	14
292410 Pedrão	2924108	5	12	5	4	4	8	4	12	4	8	6	3	5	6	4	3	2	8	5	10
292420 Pedro Alexandre	2924207	3	10	3	4	14	3	15	8	6	4	7	1	7	4	7	1	4	10	4	3
292430 Piatã	2924306	10	26	7	40	12	9	10	60	11	8	12	63	11	13	7	65	10	4	11	16
292440 Pilão Arcado	2924405	1	34	7	51	3	8	12	38	10	9	12	34	10	9	14	18	13	7	21	11
292450 Pindaí	2924504	14	21	5	4	11	3	8	26	7	5	16	37	9	2	9	16	11	2	9	28
292460 Pindobaçu	2924603	6	13	8	64	9	9	11	41	8	8	16	33	6	8	12	18	6	8	17	12
292465 Pintadas	2924652	6	17	5	13	8	5	6	13	5	11	9	14	6	5	5	12	8	2	12	12
292467 Piraí do Norte	2924678	2	5	7	6	5	2	1	8	8	6	4	5	1	3	6	6	1	0	7	0
292470 Piripá	2924702	10	15	4	11	11	3	9	11	6	2	7	8	12	1	8	9	10	3	8	10
292480 Piritiba	2924801	11	39	14	10	26	26	19	17	10	15	21	32	5	18	19	58	6	7	12	55
292490 Planaltino	2924900	3	3	3	10	4	2	7	16	4	4	6	13	2	2	3	13	2	5	9	2
292500 Planalto	2925006	12	20	20	42	15	8	31	37	21	17	28	24	8	13	21	47	12	14	21	31
292510 Poções	2925105	36	65	41	74	39	30	48	76	41	45	39	35	35	40	34	42	40	41	38	43
292520 Pojuca	2925204	14	34	31	12	27	16	56	35	20	23	56	11	33	16	62	17	26	10	52	3
292525 Ponto Novo	2925253	3	12	13	24	4	3	19	31	12	4	14	36	8	3	12	24	14	15	15	17
292530 Porto Seguro	2925303	85	200	226	55	106	65	206	54	70	61	172	26	86	37	197	33	55	29	171	23
292540 Potiraguá	2925402	4	17	4	5	7	1	8	5	1	4	5	3	6	6	11	2	9	3	5	4
292550 Prado	2925501	13	39	31	35	8	9	40	41	12	8	29	33	13	10	26	35	6	10	28	35
292560 Presidente Dutra	2925600	13	23	5	0	11	14	16	2	8	7	18	1	20	4	16	11	10	5	16	3
292570 Presidente Jânio Quadros	2925709	3	22	0	11	7	5	3	12	10	8	3	8	12	5	7	15	11	2	10	22
292575 Presidente Tancredo Neves	2925758	8	26	19	19	15	14	23	35	12	10	30	46	7	13	28	30	10	12	35	29
292580 Queimadas	2925808	12	22	18	73	14	16	16	66	7	14	16	55	12	18	19	67	7	6	17	66
292590 Quijingue	2925907	11	27	11	49	15	9	15	34	14	8	18	51	14	11	10	39	8	10	8	71
292593 Quixabeira	2925931	1	7	5	2	10	5	4	2	5	4	4	9	3	3	4	23	1	5	7	27
292595 Rafael Jambeiro	2925956	7	40	18	42	14	11	23	22	11	17	23	30	13	13	11	25	11	13	14	27
292600 Remanso	2926004	21	55	28	16	20	17	31	20	25	13	31	30	28	15	24	34	25	13	30	23
292610 Retirolândia	2926103	6	18	7	9	8	5	10	9	5	7	8	17	5	2	12	27	7	8	3	23
292620 Riachão das Neves	2926202	7	14	27	33	8	4	31	41	8	5	21	47	9	7	12	42	6	6	22	47
292630 Riachão do Jacuípe	2926301	31	71	21	20	36	13	26	34	29	14	35	38	39	14	27	29	39	14	21	44
292640 Riacho de Santana	2926400	12	12	12	71	23	4	24	81	14	5	15	61	13	4	12	52	22	4	15	63
292650 Ribeira do Amparo	2926509	2	6	12	11	5	7	12	4	12	6	7	12	5	4	5	22	6	8	5	9
292660 Ribeira do Pombal	2926608	49	135	60	106	20	17	49	78	38	12	39	67	25	18	48	77	27	11	40	82
292665 Ribeirão do Largo	2926657	2	7	4	8	4	0	4	14	3	5	3	8	4	7	9	7	4	0	2	7
292670 Rio de Contas	2926707	9	14	3	7	11	7	9	3	14	13	6	5	19	8	6	3	13	10	8	4
292680 Rio do Antônio	2926806	8	18	2	7	13	6	8	8	11	6	6	6	9	5	11	2	4	2	5	1
292690 Rio do Pires	2926905	7	8	2	9	3	4	6	16	4	1	4	19	7	5	3	13	12	3	4	9
292700 Rio Real	2927002	21	57	45	47	30	8	59	37	18	35	43	32	24	28	64	15	22	32	36	15
292710 Rodelas	2927101	1	12	13	2	5	8	8	2	8	3	15	9	2	5	9	3	5	2	7	2
292720 Ruy Barbosa	2927200	17	72	22	33	24	14	21	46	23	14	31	69	18	13	24	55	18	27	26	56
292730 Salinas da Margarida	2927309	6	19	12	7	10	7	12	11	21	13	15	2	13	8	10	7	9	12	8	7
292740 Salvador	2927408	4872	4107	2937	797	2963	737	2512	650	2973	906	2494	608	2840	917	2442	453	2748	807	2485	506
292750 Santa Bárbara	2927507	10	26	25	24	12	25	17	9	19	21	9	12	19	18	17	16	19	11	10	11
292760 Santa Brígida	2927606	0	10	8	10	8	7	13	2	17	4	13	5	15	6	15	7	9	9	9	11
292770 Santa Cruz Cabrália	2927705	10	21	25	9	14	6	27	11	20	5	54	7	14	9	55	6	11	9	43	7
292780 Santa Cruz da Vitória	2927804	1	7	4	8	7	12	2	1	7	7	6	2	6	4	3	2	3	4	4	0
292790 Santa Inês	2927903	9	23	6	5	7	13	12	22	6	12	5	31	7	12	8	22	9	11	19	12
292805 Santa Luzia	2928000	1	3	20	30	8	4	27	28	5	2	30	19	6	7	21	21	8	4	22	16
292810 Santa Maria da Vitória	2928059	14	37	39	48	11	7	25	86	7	11	31	66	22	12	34	76	20	14	22	55
292840 Santa Rita de Cássia	2928109	11	31	13	13	4	5	23	6	14	9	29	7	12	7	21	6	12	10	22	9
292850 Santa Teresinha	2928208	9	12	7	8	11	10	9	9	7	7	6	5	9	3	12	4	11	6	16	0
292800 Santaluz	2928307	16	42	12	46	23	11	28	43	19	10	16	63	16	10	14	57	20	13	22	66
292820 Santana	2928406	5	28	13	1	14	10	9	7	8	8	10	17	9	6	10	3	9	4	15	11
292830 Santanópolis	2928505	6	11	3	21	10	0	8	20	7	1	6	11	6	4	7	7	11	8	6	7
292860 Santo Amaro	2928604	19	75	57	20	50	39	45	45	56	44	49	38	52	45	42	28	40	35	34	22
292870 Santo Antônio de Jesus	2928703	119	414	184	32	77	72	100	33	66	54	75	53	70	58	79	35	68	55	77	39
292880 Santo Estêvão	2928802	27	89	34	37	43	33	52	44	51	25	47	53	44	33	47	33	34	30	53	40
292890 São Desidério	2928901	9	18	30	10	11	4	23	7	10	6	21	7	7	4	28	5	5	3	37	8
292895 São Domingos	2928950	5	17	2	5	8	3	5	3	10	2	14	1	7	2	9	2	7	4	6	0
292910 São Felipe	2929107	11	23	14	26	13	18	16	8	18	16	18	6	21	20	17	19	15	19	12	28
292900 São Félix	2929008	12	90	16	10	9	7	11	9	10	8	9	9	13	7	14	8	8	7	12	3
292905 São Félix do Coribe	2929057	6	30	11	7	4	11	18	2	6	6	12	10	10	4	13	5	10	6	12	10
292920 São Francisco do Conde	2929206	25	41	22	8	33	15	26	10	32	16	33	11	29	11	20	2	23	14	27	11
292925 São Gabriel	2929255	15	16	10	1	16	10	11	1	12	4	13	26	9	7	14	12	20	6	10	9
292930 São Gonçalo dos Campos	2929305	17	43	26	42	24	16	17	37	23	15	27	39	25	22	16	38	15	18	24	31
292935 São José da Vitória	2929354	0	8	7	4	10	3	12	27	3	2	11	13	5	2	3	14	3	3	4	13
292937 São José do Jacuípe	2929370	3	9	14	7	6	6	11	4	4	0	8	26	7	1	6	21	6	7	8	13
292940 São Miguel das Matas	2929404	9	13	4	6	6	6	13	5	10	7	10	1	6	5	5	4	7	7	4	7
292950 São Sebastião do Passé	2929503	20	48	53	30	33	15	56	11	36	27	38	13	33	29	37	6	34	21	42	14
292960 Sapeaçu	2929602	17	29	18	3	23	17	11	7	18	14	9	5	28	14	9	7	14	10	15	17
292970 Sátiro Dias	2929701	15	28	16	9	16	11	15	15	14	1	15	22	13	5	13	33	14	3	9	24
292975 Saubara	2929750	7	12	19	19	7	2	19	6	11	5	11	24	9	11	5	3	9	10	7	8
292980 Saúde	2929800	5	16	9	9	6	6	7	4	7	14	7	9	7	13	8	16	5	8	10	9
292990 Seabra	2929909	7	39	29	121	26	28	22	110	20	13	28	94	25	13	20	123	17	15	21	33
293000 Sebastião Laranjeiras	2930006	8	13	0	2	14	4	6	3	11	4	7	6	8	5	3	5	11	2	7	2
293010 Senhor do Bonfim	2930105	55	141	47	83	60	45	44	142	58	44	59	188	65	34	50	119	49	30	52	91
293020 Sento Sé	2930204	4	15	10	31	14	4	22	42	10	2	27	50	10	6	17	45	11	7	20	40
293015 Serra do Ramalho	2930154	7	12	29	52	13	6	30	52	13	7	21	56	17	6	23	56	8	4	21	51
293030 Serra Dourada	2930303	10	27	4	1	15	12	13	1	11	14	6	1	9	4	13	2	8	5	11	16
293040 Serra Preta	2930402	6	32	12	24	13	5	20	42	17	21	12	20	19	10	11	21	15	14	12	25
293050 Serrinha	2930501	27	87	78	130	53	39	54	120	29	52	57	110	45	39	55	116	43	35	71	99
293060 Serrolândia	2930600	6	17	12	10	6	4	13	16	8	11	10	21	4	6	12	16	2	9	11	26
293070 Simões Filho	2930709	48	128	195	66	97	43	182	36	101	45	158	33	103	54	201	15	88	40	185	38
293075 Sítio do Mato	2930758	7	12	10	0	7	4	17	1	5	3	9	1	3	1	2	4	2	4	6	7
293076 Sítio do Quinto	2930766	3	14	3	15	7	11	12	5	3	10	10	2	5	3	7	20	4	8	3	28
293077 Sobradinho	2930774	4	12	11	41	15	3	28	54	12	6	22	40	14	11	15	14	26	6	17	12
293080 Souto Soares	2930808	15	24	8	21	12	11	21	16	9	6	19	10	13	7	10	19	10	5	11	9
293090 Tabocas do Brejo Velho	2930907	2	11	5	6	4	1	9	5	7	1	8	10	5	4	4	6	1	3	3	16
293100 Tanhaçu	2931004	20	28	10	8	24	9	14	11	14	9	12	17	19	4	8	20	17	13	11	13
293105 Tanque Novo	2931053	9	34	7	7	15	7	12	21	19	10	8	16	15	6	6	2	10	2	7	13
293110 Tanquinho	2931103	4	14	21	20	5	8	7	14	11	5	7	16	2	6	3	16	7	4	7	8
293120 Taperoá	2931202	7	13	8	12	9	7	19	9	9	10	18	13	8	11	19	11	10	9	16	20
293130 Tapiramutá	2931301	10	27	3	5	10	9	17	3	7	9	6	8	7	12	8	8	6	10	8	14
293135 Teixeira de Freitas	2931350	201	329	193	88	130	51	195	129	114	40	197	150	128	59	200	103	161	47	179	118
293140 Teodoro Sampaio	2931400	1	11	10	12	6	6	7	5	8	11	10	6	9	4	7	5	7	10	5	11
293150 Teofilândia	2931509	6	18	17	35	15	9	13	28	10	7	11	50	6	8	14	24	18	7	14	19
293160 Teolândia	2931608	4	11	10	3	8	12	17	0	8	8	12	4	5	8	15	4	7	3	12	5
293170 Terra Nova	2931707	4	13	2	8	5	4	8	10	9	2	18	6	11	3	15	10	10	7	12	5
293180 Tremedal	2931806	5	18	8	23	9	8	10	46	15	11	14	29	13	2	7	49	9	9	18	27
293190 Tucano	2931905	12	48	38	71	19	13	28	103	26	10	44	120	20	13	40	85	15	16	42	107
293200 Uauá	2932002	15	44	12	26	19	4	12	63	10	9	12	34	20	9	7	49	14	5	11	66
293210 Ubaíra	2932101	14	38	10	13	13	14	14	14	8	20	13	10	15	12	15	14	14	12	8	22
293220 Ubaitaba	2932200	11	28	16	13	15	15	33	29	7	9	34	42	12	15	22	44	22	14	21	36
293230 Ubatã	2932309	5	28	9	35	20	14	23	44	9	15	29	54	8	9	35	55	11	13	14	59
293240 Uibaí	2932408	7	24	10	0	21	5	21	1	7	6	13	1	18	5	8	0	12	8	9	2
293245 Umburanas	2932457	4	9	5	12	5	5	5	20	0	6	3	19	5	5	11	9	4	3	6	13
293250 Una	2932507	12	31	27	2	19	10	33	3	15	24	22	3	18	13	28	2	13	18	24	5
293260 Urandi	2932606	7	9	10	29	14	5	13	31	13	0	5	20	6	1	15	17	9	4	6	17
293270 Uruçuca	2932705	2	16	17	24	18	10	30	27	16	17	18	38	10	15	20	53	11	23	34	34
293280 Utinga	2932804	7	20	12	20	4	4	12	43	11	6	13	34	10	2	9	40	10	2	12	25
293290 Valença	2932903	35	146	79	88	57	81	111	114	45	71	100	96	52	77	117	84	39	68	118	103
293300 Valente	2933000	15	25	11	15	26	6	18	10	16	9	17	25	20	8	14	19	18	8	14	25
293305 Várzea da Roça	2933059	1	22	15	0	8	6	20	9	6	10	14	37	10	3	14	17	6	4	9	18
293310 Várzea do Poço	2933109	4	12	8	5	10	4	2	18	5	5	7	23	1	2	4	36	4	2	3	24
293315 Várzea Nova	2933158	8	12	7	7	2	7	7	17	14	9	8	5	2	0	7	18	10	6	9	13
293317 Varzedo	2933174	2	10	1	8	12	6	6	6	12	8	4	9	4	7	8	7	6	8	5	19
293320 Vera Cruz	2933208	9	41	86	42	46	25	55	37	30	39	49	20	41	19	49	18	30	26	37	24
293325 Vereda	2933257	6	5	2	6	2	1	3	4	3	2	11	9	5	0	3	3	2	2	7	8
293330 Vitória da Conquista	2933307	479	797	467	263	319	132	382	289	288	131	358	239	260	107	376	255	257	129	358	237
293340 Wagner	2933406	2	15	4	11	5	1	9	13	6	3	2	14	7	4	6	17	4	2	6	15
293345 Wanderley	2933455	3	13	13	4	5	0	10	27	7	1	7	6	8	1	13	13	5	1	10	23
293350 Wenceslau Guimarães	2933505	10	26	22	11	9	16	22	18	13	11	14	18	9	13	12	28	12	9	14	19
293360 Xique0Xique	2933604	20	69	37	48	32	25	46	67	18	18	44	76	21	7	40	97	13	10	35	76
