COD MUN	PIB - 2012	PIB - 2013	PIB - 2014	PIB - 2015	PIB - 2016	ESCOLAS - 2012	ESCOLAS - 2013	ESCOLAS - 2014	ESCOLAS - 2015	ESCOLAS - 2016	POPULACAO - 2012	POPULACAO - 2013	POPULACAO - 2014	POPULACAO - 2015	POPULACAO - 2016
2916401	887015	844595	898576	940315	1015448	70	79	80	77	79	69903	74652	75440	76184	76881
2916500	249320	300608	323726	349735	371220	95	95	96	96	96	33008	35255	35632	35987	36320
2916609	53521	61592	66950	74989	79625	35	35	36	26	37	10181	10799	10799	10800	10799
2916708	44440	49946	62391	69054	70852	23	35	36	36	36	7751	8231	8480	8519	8557
2916807	118540	138653	163230	189721	244021	48	38	52	52	52	18651	19837	19968	20091	20206
2916856	193477	261022	272917	292830	305711	36	37	37	37	37	13841	14700	14691	14763	14895
2916906	74613	79444	85933	88118	91225	33	34	34	34	34	12589	13267	13336	13307	13280
2917003	167956	188801	210500	236730	281185	183	182	184	184	185	36200	38330	38413	38492	37500
2917102	103723	117448	141919	187926	216694	35	38	43	37	42	19942	21106	21143	21178	21210
2917201	122228	139200	170398	191645	193248	93	95	95	71	97	18302	19211	19311	19406	19494
2917300	235598	270137	290142	297856	325394	57	62	62	62	63	26930	28639	28934	29108	29273
2917334	60784	74641	80232	87457	90738	38	39	39	39	39	10963	11253	11294	11331	11366
2917359	299906	302120	409262	354521	345574	21	33	33	23	33	8728	9417	9318	9225	9138
2917409	58525	65778	75714	83385	94754	21	70	70	70	70	14500	15350	15380	15409	15435
2917508	922324	868282	887350	1038299	1268886	128	131	148	111	144	79580	84328	84577	84811	83435
2917607	339670	398281	440895	507913	549746	94	95	95	91	91	51635	54902	55127	55449	55751
2917706	529469	404827	425105	463848	289675	118	117	119	117	120	30769	32740	32969	33186	34304
2917805	107019	124302	145450	163414	158940	58	69	69	69	74	16927	18114	18432	18647	18849
2917904	116709	134971	170486	170921	194177	24	25	25	25	25	10377	10997	11031	11063	11092
2918001	1635894	1908466	2057820	2234942	2438384	180	214	219	208	224	152372	161391	161150	161528	161880
2918100	208092	253274	274370	315046	315003	134	136	136	135	135	38163	40587	40851	41100	41387
2918209	67098	84041	88323	95926	109084	28	42	42	43	43	14096	14936	14993	15033	15071
2918308	86177	88895	102031	122868	117518	62	63	63	63	63	13280	13667	13636	13300	12985
2918357	124524	148495	169441	204850	216381	30	30	30	30	31	23066	24633	24894	25141	25431
2918407	2148674	2623338	3011502	3135297	3435777	193	199	197	208	215	201499	214748	216588	218324	220253
2918456	113241	157029	102252	98339	96532	77	77	77	59	77	9972	10403	10272	10148	10032
2918506	65305	74321	84518	90788	94045	35	43	43	43	43	15004	15848	15844	15841	16006
2918555	42195	46297	47464	54207	51054	22	27	28	29	29	6322	6493	6434	6378	6324
2918605	34735	37104	45942	52290	56631	46	46	46	45	46	7533	7741	7429	7229	7239
2918704	22519	25437	29182	34373	36946	10	12	12	12	12	3830	4017	4046	4020	3996
2918753	53769	64177	72595	82950	86420	51	52	52	52	52	14187	15542	15676	15801	15920
2918803	147939	165815	177107	217348	228387	62	63	63	63	63	22679	24207	23682	23904	24112
2918902	48819	49603	72048	84938	59012	12	13	13	12	13	3782	3971	3997	4022	4046
2919009	24229	32254	49626	48473	53697	28	29	29	29	29	3881	4079	3993	3974	4032
2919058	52985	61805	65108	71227	73023	22	23	23	23	23	8346	8847	8810	8836	8862
2919108	33457	39048	41739	46583	49035	24	31	22	21	29	9271	9673	9554	9442	9099
2919157	122102	134080	159654	183312	194053	38	38	39	40	40	25785	27338	27432	27521	28166
2919207	4578168	5351015	5930813	5655486	6104081	125	142	149	150	160	171042	184383	188013	191436	194641
2919306	71818	79970	93742	112338	113963	22	27	27	25	27	10589	11300	11340	11445	11544
2919405	63503	71811	80967	94756	101050	55	56	56	54	55	12268	12962	12965	12966	12967
2919504	280578	320617	384861	404785	433471	110	165	165	164	164	43514	45236	45647	46035	46399
2919553	3261809	3385205	3824488	4376477	3999684	49	58	65	70	71	66371	73061	76420	79162	81730
2919603	53189	61352	61779	64853	71175	24	34	34	29	33	11201	11835	11836	11837	11878
2919702	104773	118160	137729	147139	152380	35	35	36	36	36	17253	18419	18608	18786	18954
2919801	213211	243597	270150	296802	322370	166	168	169	169	170	47915	49436	49861	50262	50637
2919900	31993	37998	36681	39269	40558	58	58	58	18	58	7992	8417	8390	8365	8288
2919926	330395	406357	412432	494442	455520	14	14	11	13	18	18183	19600	19985	20348	20689
2919959	30010	35948	40340	43401	46058	27	37	37	37	37	6048	5972	5561	5174	4796
2920007	68552	73450	80431	88836	93411	15	16	21	14	22	9229	9864	9976	10082	10183
2920106	92580	103837	111016	125266	128983	43	57	57	57	57	19163	20194	20144	20097	19736
2920205	83684	108517	112516	123374	125249	40	47	49	49	49	16058	17375	17416	17455	17491
2920304	37451	43850	48930	52183	55756	42	42	42	42	42	8389	8942	8918	8896	8875
2920403	73787	80731	94306	102938	109223	65	65	65	65	65	13948	14600	14618	14488	14364
2920452	47028	51854	59525	70296	88889	66	66	66	66	66	12759	13598	13652	13761	13864
2920502	149701	175846	192822	260156	308900	63	65	65	65	65	25024	24491	24156	23751	23373
2920601	494917	754165	547239	430960	402368	79	105	93	94	103	43114	45740	45928	46106	46106
2920700	138973	160481	182366	208066	231972	80	81	81	81	82	19212	21016	21098	21175	21246
2920809	56088	65807	73194	72804	76873	27	29	29	27	29	10447	11026	10962	10951	10941
2920908	89774	95575	116793	135543	135288	49	52	55	28	55	14257	15221	15131	14877	14800
2921005	877625	988011	1024200	1011017	1043734	43	72	74	74	77	41527	44538	45194	45813	46392
2921054	45221	50241	54806	62970	67183	50	62	62	62	62	11342	12114	12217	12314	12404
2921104	196860	214900	268388	299481	302756	50	50	50	50	50	21642	23358	23420	23478	23535
2921203	144559	166910	177717	198221	220896	94	94	94	94	94	26188	27569	27627	27536	27600
2921302	80329	70649	100533	85727	91049	19	22	24	21	25	10994	11569	11700	11659	11621
2921401	76242	82539	94201	107474	113282	46	37	51	42	50	16606	17714	17881	18039	18588
2921450	39234	44041	50040	55275	59727	31	31	31	31	32	9902	10270	10081	9902	9735
2921500	214387	265711	265483	323318	310814	177	197	197	201	201	52023	54884	54807	54733	52015
2921609	37977	45040	48236	56387	60555	38	38	38	38	38	8233	8987	8977	8967	8958
2921708	181545	318334	235760	359136	299843	103	109	112	113	110	35251	37326	36641	36717	36789
2921807	57752	63140	67237	73923	86808	48	48	48	47	48	11729	12421	12450	12477	12505
2921906	204346	222708	359831	339788	390094	46	38	49	36	49	10145	10568	10400	10244	10096
2922003	1195332	1334070	1357371	1995636	1991626	58	62	63	39	55	37229	39927	40514	41068	41587
2922052	47790	55942	62400	75624	81518	39	43	43	42	43	11743	12191	12398	12200	12159
2922102	110830	121987	123381	132614	148578	49	50	50	50	50	24867	26518	26935	27165	27165
2922201	34350	37358	41939	47556	48567	22	30	30	22	28	7374	7825	7860	7893	7650
2922250	78443	89343	103556	124226	127077	24	25	26	26	26	10433	11465	11552	11495	11571
2922300	192803	219883	247051	263970	288093	34	42	35	34	41	28944	30635	30691	30743	30585
2922409	128196	150338	163635	183015	210022	45	49	69	44	68	21608	22928	22742	22833	22917
2922508	202806	227475	227820	239884	246709	48	64	63	50	62	27454	29122	29297	29406	29450
2922607	80314	96483	97823	109309	129704	56	56	56	56	56	12729	13555	14119	14188	14279
2922656	51476	57793	64553	80255	102198	58	58	58	58	58	12458	13216	13270	13321	13552
2922706	81571	92992	113063	120251	117992	63	60	65	54	66	16070	17013	17048	17082	17113
2922730	46850	53763	57128	67888	69928	27	27	27	27	27	7630	8083	8105	8125	8101
2922755	52962	58372	59094	79070	75663	36	36	36	36	37	6570	6913	7063	7036	7010
2922805	32431	35840	39912	44153	50130	10	10	14	14	14	7563	8058	8192	8312	8372
2922854	32869	35249	39925	45141	47251	29	32	32	32	31	8053	8527	9453	9470	9485
2922904	112781	140634	145077	160434	177652	65	67	67	68	68	24265	25725	25813	25854	25931
2923001	323819	372480	399216	443832	469825	40	45	44	47	47	39535	42265	42754	43216	43648
2923035	45153	53008	58779	67414	70347	31	32	32	31	32	11001	11786	12085	12238	12381
2923050	47328	56987	49212	49411	51100	31	35	35	35	35	15067	15943	15969	15993	16016
2923100	121210	148022	154101	171716	194095	66	66	67	67	67	25100	26620	26722	26817	26907
2923209	119316	129371	145081	149349	159429	111	112	112	112	112	21813	22738	22756	22774	22789
2923308	39577	40591	46598	50583	52665	21	22	22	22	22	8316	8804	8822	8839	8895
2923357	95546	95781	115215	130408	152104	28	42	40	41	43	16578	17603	17691	17775	17954
2923407	95345	115778	124879	141463	151861	90	90	90	42	90	20894	22260	22340	22416	22487
2923506	42994	54583	57018	65299	66632	27	32	32	32	32	8545	9122	9066	9130	9191
2923605	110517	124485	144311	157518	189972	82	82	83	82	82	21226	21838	21961	22077	22184
2923704	140340	160408	181186	185874	200638	99	100	100	101	101	29853	32258	32452	32636	32807
2923803	155254	230623	248619	316294	283646	22	24	25	25	25	27958	29654	29769	29878	29980
2923902	59474	68395	75159	88303	89312	34	34	35	17	35	10479	11166	11031	10905	10784
2924009	2485527	1439814	1586666	2225391	2267981	98	142	141	138	146	110193	117377	118323	119214	119930
2924058	72008	80661	89892	96082	95639	45	47	48	48	48	13707	14478	14474	14471	14229
2924108	30068	33053	35368	39819	39629	22	27	27	26	27	6993	7450	7511	7568	7486
2924207	72184	95456	108391	112682	106432	69	69	69	69	69	17045	18051	18094	18135	18173
2924306	94678	88738	104904	116967	116625	24	26	27	27	27	17257	18421	18584	18473	18366
2924405	145142	159375	172202	196485	208213	193	236	236	235	236	33176	35237	35255	35428	35590
2924504	64214	72357	83845	98304	167047	76	76	76	76	76	15695	16708	16758	16805	16849
2924603	86561	97497	109567	123108	122273	54	58	58	57	58	20009	21113	21087	21062	21191
2924652	50153	59683	65855	72941	77033	19	21	21	22	22	10250	10798	10769	10742	11036
2924678	47139	56545	55524	57871	77340	46	48	47	37	50	9833	10415	9777	10360	10386
2924702	47026	54210	59039	63711	66480	30	75	75	75	75	12219	12678	12452	12238	12035
2924801	96162	113175	122630	134486	144639	45	50	50	48	50	22907	24462	24785	25027	25002
2924900	44135	47892	50810	56384	59180	31	31	31	31	31	8944	9516	9413	9473	9529
2925006	155880	208470	222217	240192	223299	54	74	74	51	75	24627	26225	26436	26632	26743
2925105	286479	347332	379518	443014	468594	72	73	74	73	73	45903	48576	48655	48729	48798
2925204	1327604	1444677	1157448	955648	800661	38	33	39	42	39	34106	36551	37061	37543	37993
2925253	81121	87560	95974	104419	111251	66	50	68	67	68	15524	16321	16242	16168	15892
2925303	1514841	1831809	2077893	2289906	2523425	163	168	169	145	175	131642	141006	143282	145431	147444
2925402	60756	66095	77435	80180	80774	30	25	33	22	32	9360	9574	9263	8969	8694
2925501	267059	302543	369230	422019	416557	50	60	61	62	61	27693	29095	29158	29218	29273
2925600	69823	73112	85609	94149	98559	39	39	39	39	39	13807	14629	14672	14712	15699
2925709	49754	57130	65980	70241	74388	60	67	69	69	69	12854	13442	13307	13178	13456
2925758	135065	171327	182212	195296	221303	72	94	94	95	94	24517	26238	27187	27505	27803
