COD MUN	PIB - 2012	PIB - 2013	PIB - 2014	PIB - 2015	PIB - 2016	ESCOLAS - 2012	ESCOLAS - 2013	ESCOLAS - 2014	ESCOLAS - 2015	ESCOLAS - 2016	POPULACAO - 2012	POPULACAO - 2013	POPULACAO - 2014	POPULACAO - 2015	POPULACAO - 2016
2931103	38099	42691	46973	52044	48412	23	24	23	24	25	8035	8510	8532	8553	8214
2931202	139208	146019	168900	171825	177260	73	75	75	74	75	19174	20474	20886	21091	21282
2931301	95849	99215	108348	116884	123508	29	36	36	36	36	16434	17345	17413	17398	17855
2931350	1512014	1776848	1939606	2126825	2255519	102	131	136	129	138	143001	153385	155659	157804	159813
2931400	54666	56471	62718	67544	128772	20	15	14	20	22	7746	8125	8067	8013	7984
2931509	96431	115872	124272	137857	150373	44	63	63	63	64	21581	22873	22944	23011	23319
2931608	79898	89853	93434	112279	143430	51	51	51	51	51	14113	15016	15079	15178	15269
2931707	87764	88858	85135	99284	119529	23	26	28	28	28	12793	13526	13537	13547	13527
2931806	70670	84944	100665	104101	116144	78	135	136	122	136	17750	18560	18367	18187	17854
2931905	305345	342046	337921	391782	424731	94	123	123	101	124	52734	55923	56131	55777	52381
2932002	112937	139061	160803	181786	192135	74	91	91	91	92	24015	25274	25178	25087	25853
2932101	120688	139552	148097	167960	186490	71	61	76	54	75	20714	21897	20770	20782	20793
2932200	159078	177131	192868	213860	206299	37	44	44	44	46	20214	21183	20993	20813	20646
2932309	129662	143447	154248	175145	186884	49	53	54	54	54	25575	27312	26787	27051	27297
2932408	64865	74611	83464	89314	96526	42	43	43	42	42	13642	14436	14460	14483	14454
2932457	66316	73705	94900	108030	154419	44	46	46	46	46	17432	18635	18851	19055	19343
2932507	227976	242869	269723	282558	287790	90	89	89	89	89	22992	22989	22535	22105	21706
2932606	113555	127914	136398	136810	163105	24	62	62	62	62	16493	17239	17270	17301	17329
2932705	127503	157664	179293	189304	199181	65	88	88	88	88	19642	22004	21924	21849	21778
2932804	102600	115145	129643	139506	150627	26	38	38	38	38	18367	19516	19490	19593	19688
2932903	919172	1106119	1195982	1325324	1399668	179	190	192	192	189	90319	96287	96507	97305	98053
2933000	135536	161493	164642	196136	211864	62	46	61	44	67	25342	27162	27545	27906	28426
2933059	62228	68112	77110	88002	88150	23	30	33	34	35	13834	14654	14693	14729	14632
2933109	45005	49721	58829	68127	79762	13	24	25	23	25	8759	9309	9364	9416	9404
2933158	62797	81910	87518	99562	105289	46	46	46	16	43	12910	13581	13524	13470	13500
2933174	54014	62362	65494	87271	94303	27	31	31	28	31	8987	9449	9405	9363	9409
2933208	393787	432069	465766	503806	521784	71	70	71	65	70	38748	41524	42103	42650	43162
2933257	88894	106034	71615	72340	81205	20	29	29	29	30	6681	6781	6737	6696	6657
2933307	4355302	4993373	5385015	5760130	6226153	314	387	376	375	401	315884	336987	340199	343230	346069
2933406	47143	46668	64828	62804	72823	27	27	27	29	29	8985	9504	9720	9731	9743
2933455	84040	100959	117753	133572	132065	54	55	55	56	56	12356	13089	13047	13008	12971
2933505	177590	198234	223686	262180	319406	95	96	96	96	96	21910	23046	22621	22530	22445
2933604	237066	278198	326177	325877	342261	168	185	186	187	186	45660	48100	48210	48316	48274
